power,energy,effi,storage,charge,discharge,fuel_cost,Gasuse,solar,wind,discharge,charge,Wind,Solar
0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250000,1000,0.4,[2910.33320342],73.49923724840565,35.254725714122344,60,95734.45161602148,301381.9213969741,587943.4324663039,65377.65806579769,120016.62347983965,192.12247562574973,171.37038513342992
150000,1000,0.4,[3353.55756071],92.53644314868802,45.14937351834288,60,84836.60142343487,331346.09814448573,584159.1261032579,74688.94182243492,136937.33099374617,190.47619047619048,182.21574344023324
100000,1000,0.4,[3707.57763812],107.16331105303414,51.8939393939394,60,77597.78277983458,352526.06361789786,580921.2229270475,80835.25390232044,148530.17776628403,189.39393939393938,190.3439618527848
60000,1000,0.4,[3872.27673827],119.19594274883241,56.88699400270687,60,72021.05716719817,368171.47162111464,578790.599727755,85320.17486025364,157077.44794991138,188.80202659981603,197.0700181667033
55000,1000,0.4,[3858.85529663],121.22900188323914,57.189453860640306,60,71537.65020825366,371167.8202617415,577321.9452386743,85953.11212696292,158231.41345900204,188.32391713747646,198.49340866290018
51000,1000,0.4,[3864.84922063],122.93398486313572,57.664591226455045,60,70960.50433017987,372567.7235901621,577297.811536365,86390.20337992984,159081.61122609812,188.32391713747646,199.08757193866813
250000,2000,0.4,[2222.53965243],68.89893499595176,31.575122696485145,60,101571.23963157575,294643.8356501523,581120.5570663293,61467.78382678713,112012.15554958183,190.61683754825407,170.115421902508
150000,2000,0.4,[2606.20103223],89.01083936444243,42.05820264042204,60,88651.73790904623,330303.0551167016,576223.239383741,72415.12960213063,131820.10285603427,188.50982214824393,183.90180427350907
100000,2000,0.4,[2779.33038882],103.30329208231569,46.950452973745946,60,84110.31909038864,350986.0147307722,568669.6681723867,77681.84234319949,141352.4140823882,185.87360594795538,191.42475341861044
60000,2000,0.4,[2896.81115461],113.78901243565386,52.6911052300708,60,79850.40365640743,364776.8056651778,565622.2400866133,81706.92292267339,148582.50114033377,184.80037019503595,196.87416100553256
55000,2000,0.4,[2916.85395778],116.85379278440372,53.684437874494506,60,79139.54326188058,367569.0138008603,564801.3118801216,82476.02740978151,149978.85611714938,184.5241518944442,197.85601283071892
51000,2000,0.4,[2926.4935258],118.05468726722924,54.107049627624804,60,78846.70721834099,368538.3099115642,564603.7314888827,82764.51495997077,150506.82081908712,184.45743955993936,198.1727287818606
250000,5000,0.4,[1368.26624532],58.168154744815745,26.347774274823863,60,118499.48289530208,282492.50762326794,559022.4854891219,52299.041746093026,93786.55136910378,184.13056431294035,167.50418760469012
150000,5000,0.4,[1610.74069731],76.4764044559867,34.38111215424851,60,106407.9944117899,312034.67420549534,557256.8644340027,62087.604136606016,111312.93434991222,183.06220855967535,178.3370879641485
100000,5000,0.4,[1759.90582784],88.59774654943,40.516937169952236,60,99431.43769459082,333531.8527841638,552848.2533936553,68458.24892884013,122653.34616566081,181.35080131112122,187.14818422892128
60000,5000,0.4,[1875.13964968],101.9714853767241,46.077307597581594,60,93999.77277098715,350268.620508616,549659.6092877395,73507.8991532367,131711.90448651818,180.18018018018017,193.5483413006473
55000,5000,0.4,[1883.96446183],103.12985070636095,46.509267613510865,60,93661.14212223722,351352.5789390844,549456.0330707419,73842.40550197246,132314.78825892162,180.10347604878498,193.90172622994194
51000,5000,0.4,[1897.83844997],104.56570745450767,47.468912726332675,60,92792.42461636935,354010.84024047496,548892.9844743799,74616.0574659049,133690.9313425155,179.9009838139292,195.16988540492784
250000,10000,0.4,[604.57693018],44.2925848427206,19.80367542892325,60,138333.66001739993,258818.06609619875,539250.3653982292,38487.34695012457,68038.00204852552,180.62235263756025,161.99588730630055
150000,10000,0.4,[747.48100999],58.09672035117164,28.057485895142435,60,129376.16284171757,281360.43502530607,538290.7865527908,46615.22932492618,82316.62071968942,178.89087656529514,169.8603275079125
100000,10000,0.4,[850.15069405],68.95912625298868,32.77750684872204,60,123214.93045995067,298432.74515247036,536087.9175087775,52129.16294216975,92101.75210742104,177.60639751396045,176.54319712347137
60000,10000,0.4,[948.81712586],79.49617530737078,37.115457897206575,60,117212.85870210767,316264.1332053655,532874.8227756955,57575.274797226906,101776.9316282642,176.147176758525,184.28740257404624
55000,10000,0.4,[956.66874993],80.57857472272272,37.60984182776801,60,116667.93925274463,318870.67154419847,531849.1408922352,58244.30424417066,102949.98420923667,175.74692442882252,185.54560614459967
51000,10000,0.4,[977.88573648],82.3041008197992,38.64442105709838,60,115210.61526775871,321001.1667149837,532615.4737082915,59133.64613784587,104552.27889586076,175.99693601189117,186.4838000747759
250000,20000,0.4,[243.27780044],33.33872003065727,14.617893489354861,60,154814.97722611218,239423.1205536782,523143.4301640224,26807.11993260394,46915.21598321982,178.4989558643337,156.46400987254262
