power,energy,effi,storage,charge,discharge,fuel_cost,Gasuse,solar,wind,discharge,charge,Wind,Solar,chargeeffi,costfrac
0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500000,5000,0.6,[2904.71330411],152.60705288708672,59.56834532374099,100,47496.95070962617,504510.8569314379,442105.4338249706,154549.9653569148,251689.11399041486,143.88489208633095,287.50936148773826,0.923076923076923,0.1
700000,5000,0.6,[2725.62388092],116.21526870472044,48.10819518303592,100,59230.0074054144,408046.3497573967,501575.5918021654,118246.81183335133,194860.3945830718,164.73588830782248,239.1966161900878,0.923076923076923,0.1
900000,5000,0.6,[2519.7063608],97.35149188635634,40.7227631633613,100,68371.81278327621,362265.03078167525,525945.5732155007,101492.4820381308,168069.13737099952,173.83353911037742,216.29669370222538,0.923076923076923,0.1
1100000,5000,0.6,[2492.02943571],84.40436592045603,35.45734151249212,100,73706.07808303038,334416.9459149214,541823.618603098,91018.63476667128,152275.64064712706,180.286755551698,204.63416305385653,0.923076923076923,0.1
1300000,5000,0.6,[2398.70554984],68.06803572340708,29.46171967020092,100,80750.65740341747,300534.9459609681,560310.626106791,78335.20106280713,132859.7820313695,188.60502761978364,190.9334847508921,0.923076923076923,0.1
1500000,5000,0.6,[2130.61105278],57.752599090318384,24.366471734892798,100,88487.04238974804,274275.3290661643,570643.0090760966,67448.4920481987,115249.72853557621,194.9317738791423,179.3643058262941,0.923076923076923,0.1
1700000,5000,0.6,[1850.69483612],49.03486670270469,20.594059405940584,100,95194.84537842353,258461.38911772022,573062.5339792125,59294.86879356872,101551.04978669994,198.01980198019803,174.30053469733627,0.923076923076923,0.1
1900000,5000,0.6,[1622.55766705],40.73893543821899,17.601563440017106,100,101938.52782713846,244457.41663880786,574178.3720677651,52048.873802663176,89190.63723357645,200.48281401455696,168.59774773337463,0.923076923076923,0.1
2100000,5000,0.6,[1423.41513719],33.72656096340589,15.067179337645442,100,107737.66651809828,234196.5623618931,573233.4467470229,45656.68579247918,78299.41054107081,202.22100157703468,165.6158754637525,0.923076923076923,0.1
2300000,5000,0.6,[1130.6412315],28.604352455439283,12.147663688879867,100,113764.13314886505,223964.2252020584,570882.6205503526,38072.45441577852,65246.24613881959,204.78400072522177,163.53254734172398,0.923076923076923,0.1
2500000,5000,0.6,[750.16000916],23.2432204269281,9.1538944244965,100,120136.91100848939,212220.07499093257,568340.7519401243,29512.355709443797,50040.08644522163,208.36262746675115,160.989978338451,0.923076923076923,0.1
2700000,5000,0.6,[596.42597554],17.983545874989066,6.63032361317083,100,126750.11525190012,202916.34917376188,565491.5245040014,22495.423907519442,38449.3041573995,210.29206393429993,157.73290224764884,0.923076923076923,0.1
2900000,5000,0.6,[392.15882311],12.1256705969095,4.533000463202789,100,131236.49156505152,194281.61294907946,563666.196167361,15587.442299199201,26558.531982176504,213.57270589887523,156.99715466738508,0.923076923076923,0.1
3100000,5000,0.6,[181.98409533],5.9299465766807335,2.4009828317031565,100,136111.61157842824,185425.67809614277,561209.7373922516,8191.083547232149,13789.025182204416,216.88670481843744,156.72126545045924,0.923076923076923,0.1
3000000,5000,0.6,[295.26536821],9.033671230570278,3.494736152678229,100,133992.6125489309,189774.4807233036,562362.4212859716,12048.178878281533,20471.71701829633,214.93377248846718,156.2086980380663,0.923076923076923,0.1
3100000,5000,0.6,[181.98409533],5.9299465766807335,2.4009828317031565,100,136111.61157842824,185425.67809614277,561209.7373922516,8191.083547232149,13789.025182204416,216.88670481843744,156.72126545045924,0.923076923076923,0.1
3050000,5000,0.6,[238.17690722],7.405176826426031,2.9295403165033775,100,135289.42505564258,187569.8325671386,561543.5161231601,10072.260136520172,17053.877429964545,215.71213262999248,156.3677467972871,0.923076923076923,0.1
3100000,5000,0.6,[181.98409533],5.9299465766807335,2.4009828317031565,100,136111.61157842824,185425.67809614277,561209.7373922516,8191.083547232149,13789.025182204416,216.88670481843744,156.72126545045924,0.923076923076923,0.1
3060000,5000,0.6,[223.67890271],7.050528458904736,2.799891470278529,100,135565.9795583842,186959.43429077085,561468.9090143614,9615.034190763306,16254.7911270275,216.00024117715878,156.25,0.923076923076923,0.1
3070000,5000,0.6,[215.66603896],6.897675391682982,2.738439119963433,100,135652.29768977902,186727.47382139068,561412.4387744013,9395.409927519991,15865.4955813148,216.13680195563677,156.3164020733519,0.923076923076923,0.1
3080000,5000,0.6,[205.29609845],6.621351955949944,2.6401098622003474,100,135814.5175409388,186316.5540704002,561353.5451053199,9045.54132181529,15258.607420130042,216.35531141733256,156.3576200158874,0.923076923076923,0.1
3090000,5000,0.6,[195.05395972],6.338144704000229,2.541415240732989,100,135942.8228102026,185943.59190927746,561288.6125810283,8691.5249648601,14646.048244955467,216.57463279837114,156.49576374468424,0.923076923076923,0.1
3085000,5000,0.6,[201.13871932],6.506690107573858,2.599959468721181,100,135870.98502065876,186159.72663554002,561328.2558141787,8901.835084832557,15009.971589424658,216.44453451395293,156.40175536466842,0.923076923076923,0.1
3090000,5000,0.6,[195.05395972],6.338144704000229,2.541415240732989,100,135942.8228102026,185943.59190927746,561288.6125810283,8691.5249648601,14646.048244955467,216.57463279837114,156.49576374468424,0.923076923076923,0.1
3086000,5000,0.6,[200.87393122],6.499309825821801,2.5974025974025916,100,135874.1220228368,186150.27532317644,561326.537269678,8892.638584192284,14994.067569123265,216.45021645021643,156.40586110384768,0.923076923076923,0.1
