power,energy,effi,storage,charge,discharge,fuel_cost,Gasuse,solar,wind,discharge,charge,Wind,Solar,chargeeffi,dischargeeffi
0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500000,5000,0.6,[2700.50599903],94.32256595594527,58.99280575539569,100,48877.85008982496,373418.61275393754,544534.9573202033,112467.05848429806,157474.32442280606,179.85611510791367,224.12911588201,0.7745966692414833,0.7745966692414834
700000,5000,0.6,[2447.32418892],69.17301431613448,48.78753070317559,100,57189.87258438116,312294.6204727518,583438.1390123247,93760.03033943503,132210.22179919685,195.12197751559464,197.81471504661192,0.7745966692414833,0.7745966692414834
900000,5000,0.6,[2187.61437937],56.16024094976188,41.30771649878222,100,65042.429175878926,284333.0306940479,595056.8005246829,83302.49912443517,117533.23933160972,201.05141281660875,186.3223715846228,0.7745966692414833,0.7745966692414834
1100000,5000,0.6,[1948.54447391],48.15566022363268,35.75066177656856,100,72198.48463697782,270650.3616185311,595168.5156495944,75829.46542754132,106775.69331737237,202.6793003893736,182.08356833094751,0.7745966692414833,0.7745966692414834
1300000,5000,0.6,[1627.5044869],39.29017196639803,29.705948054707836,100,81674.72506467404,251073.11070112156,596638.8485868435,65853.14963456492,92362.77824739557,206.14091479557817,173.26270384810354,0.7745966692414833,0.7745966692414834
1500000,5000,0.6,[1390.93899653],32.918790594744635,25.319211691081605,100,89326.52009169485,238621.40307508566,594817.228981919,58148.97741917538,81266.13531964528,208.02447996913202,168.1900050814257,0.7745966692414833,0.7745966692414834
1700000,5000,0.6,[1160.22628548],27.01829049770687,21.073541261541443,100,96999.28435489163,227983.12150113474,591133.0849152234,50230.90117941555,69982.01428297092,209.5729190152442,164.95881882819074,0.7745966692414833,0.7745966692414834
1900000,5000,0.6,[995.35181547],22.619320921212367,17.552703600145364,100,104182.95252858689,219533.22380301874,586935.8682450315,43496.56605635557,60533.65350216569,210.3247357139149,161.86135534610008,0.7745966692414833,0.7745966692414834
2100000,5000,0.6,[823.09819918],17.787156605059078,14.100677272862411,100,110941.75531193712,210776.25698484795,582892.6204810597,35935.50408682133,49997.22262777522,212.09709315342613,160.0368975612216,0.7745966692414833,0.7745966692414834
2300000,5000,0.6,[670.75203738],13.303552638218918,10.323435554106164,100,118237.09476665485,201919.50676581837,578206.2207994189,27635.760706398698,38728.73588825373,214.1844095240433,158.19048531990055,0.7745966692414833,0.7745966692414834
2500000,5000,0.6,[447.61045549],8.613552831694294,6.736765601407384,100,126615.34534515056,192803.189096619,571641.4170601284,18622.52653882263,26090.335302141655,215.88711666340882,156.33204999764087,0.7745966692414833,0.7745966692414834
2700000,5000,0.6,[208.15964009],3.873833011574783,2.9250891675264405,100,134973.199900269,184220.85520868242,563778.9578374508,8530.658647289447,12009.092377487319,217.78098208100147,156.98699768383148,0.7745966692414833,0.7745966692414834
2600000,5000,0.6,[340.54161578],6.42033248911355,4.850252621749775,100,130491.07829042962,188897.5923101553,567938.9613737693,13856.717577312686,19507.713279734326,216.7420213627568,156.89722643515287,0.7745966692414833,0.7745966692414834
2700000,5000,0.6,[208.15964009],3.873833011574783,2.9250891675264405,100,134973.199900269,184220.85520868242,563778.9578374508,8530.658647289447,12009.092377487319,217.78098208100147,156.98699768383148,0.7745966692414833,0.7745966692414834
2650000,5000,0.6,[264.7807279],4.946398756499715,3.7268573390787765,100,133376.01640217807,186515.221901268,564933.86983737,10793.815455418062,15196.752871746086,216.83140238946223,157.17763171662716,0.7745966692414833,0.7745966692414834
2700000,5000,0.6,[208.15964009],3.873833011574783,2.9250891675264405,100,134973.199900269,184220.85520868242,563778.9578374508,8530.658647289447,12009.092377487319,217.78098208100147,156.98699768383148,0.7745966692414833,0.7745966692414834
2660000,5000,0.6,[255.09201333],4.754459507551073,3.5752188532426175,100,133577.55269007175,185984.39053241807,564931.2024010441,10377.310772093708,14616.992671119784,217.17293051071482,157.0436175028622,0.7745966692414833,0.7745966692414834
2670000,5000,0.6,[248.08422384],4.608308375593562,3.4384845763751746,100,133774.25487517178,185490.74801494228,564962.9971593043,10028.714830386985,14141.590537188653,217.4808905937496,156.8151684807561,0.7745966692414833,0.7745966692414834
2680000,5000,0.6,[234.65296007],4.357298474945523,3.2592739471438357,100,134007.55612498792,184898.48022800358,564893.2927315875,9508.970485656328,13406.951197338094,217.8649237472767,156.78493619670087,0.7745966692414833,0.7745966692414834
