power,energy,effi,storage,charge,discharge,fuel_cost,Gasuse,solar,wind,discharge,charge
0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1500000,32000,0.5,[1994.29947117],69.78828906462127,83.43642691984954,190,13538.468216823177,251424.57926002773,704080.7158729136,73328.55908558411,117642.99739578973
1500000,32000,0.5,[1915.00629865],69.07790366705143,81.92615512524623,180,14158.307012477268,249308.53217848815,704009.8689639684,72558.49143316281,115990.40198203188
1500000,32000,0.5,[1736.90731264],69.02179668057667,80.16475767321587,170,15743.803937174273,249959.13367894356,699446.7257340158,72126.37138532028,114039.37780431658
1500000,32000,0.5,[1747.74006074],66.09496911842496,78.74211146095237,160,17437.27355674189,251111.98453728165,696943.2512297864,72766.07892646476,114734.14805752522
1500000,32000,0.5,[1680.63176204],62.95465383119872,76.40349987112114,150,19871.569664890492,252573.8339003953,692185.3768480683,73067.60710709964,114338.02632264301
1500000,32000,0.5,[1683.87697967],62.32443643011888,74.3690115691056,140,20442.43387264667,252350.17050711857,691603.9340321125,72851.59973268701,114019.65193572702
1500000,32000,0.5,[1675.07213859],60.37410901875923,71.3716928441383,130,21352.221507448496,249614.4709120433,692335.2404658912,71900.32038526812,112572.99286785556
1500000,32000,0.5,[1623.5618511],58.956919640694395,68.43575418994413,120,22511.422227280385,246196.44816723795,692804.1481940339,70612.2083606283,110396.49958327312
1500000,32000,0.5,[1579.51607718],57.41742327993572,64.21460499516984,110,24318.26667303761,243429.69970489683,691955.3513847169,69269.00992456776,108167.77024152322
1500000,32000,0.5,[1431.19272127],51.78868842351435,60.957312480332426,100,29662.266226761683,240878.7668057308,685314.7373805887,67424.33251725876,104142.759515896
1500000,32000,0.5,[1296.29152038],48.55568195079986,56.36856368563685,90,33907.26904412739,236666.74947580634,681277.0012975103,64813.86154313756,99465.09148486852
1500000,32000,0.5,[1150.71476958],44.8845861559341,50.282389244275535,80,39826.407078529606,233080.86959175713,674094.6276127197,61414.9077776087,93632.82575116561
1500000,32000,0.5,[935.72184542],39.709168519770806,44.32446543159972,70,48697.79951173312,228963.318062678,662525.5106360248,56753.290546570075,85517.43666922905
1500000,32000,0.5,[829.45365953],33.2197373515676,38.27614508033713,60,60149.6877205795,226246.0063772779,648036.9221004241,52455.67703209577,78409.86409740208
1500000,32000,0.5,[555.28543159],26.93478209069022,25.833125406780617,50,76842.05275227275,215802.91143001532,628855.964245615,41532.480792503426,61541.91384953311
1500000,32000,0.5,[265.00644096],17.13502577694655,15.20136164299339,40,103587.60818303951,203174.4246149733,597975.6445120196,27032.63526977133,39435.566214072576
1500000,32000,0.5,[26.67314858],2.3963559746986154,1.6842105263157803,30,146317.2069684337,183311.647003591,550262.3093177191,3733.293322027572,5391.304973046045
