power,energy,effi,storage,charge,discharge,fuel_cost,Gasuse
0,0,0.0,0,0.0,0.0,0,0.0
1200000,20000,0.4,[3805.73678635],281.5534532349436,92.52173913043477,290,5589.889441326605
1200000,20000,0.4,[3795.02363462],277.1999995955703,92.02857125493816,280,5703.572379088188
1200000,20000,0.4,[3618.01093642],275.07167530836927,91.78382263583578,270,6091.106625881444
1200000,20000,0.4,[3558.71983104],274.53461170112826,90.70336836126232,260,6351.878777231261
1200000,20000,0.4,[3529.62603528],273.0995448520136,89.74820143884892,250,6560.494253836252
1200000,20000,0.4,[3509.53496706],272.59119914531226,89.19680236922851,240,6690.827782446767
1200000,20000,0.4,[3489.10982023],272.9388046758188,88.59350848303339,230,6974.840304192293
1200000,20000,0.4,[3518.25340237],262.07856198419597,87.68916175922553,220,7614.583813908374
1200000,20000,0.4,[3600.38866429],245.75007638243179,86.7774393870201,210,8210.693317668696
1200000,20000,0.4,[3652.25983618],230.1083361853031,85.3875100509537,200,9094.10084777811
1200000,20000,0.4,[3150.61994179],222.9211220880372,83.55017402315013,190,11765.408726543163
1200000,20000,0.4,[3139.1244337],215.29975091339875,81.74603174603175,180,12258.178457608174
1200000,20000,0.4,[3103.87513652],207.77535276432315,79.41970702525616,170,12892.289871019917
1200000,20000,0.4,[2872.59016709],199.63085365967913,77.61411287313315,160,14119.053792390701
1200000,20000,0.4,[2618.90381605],192.082709582641,75.7382542247596,150,16049.667737650483
1200000,20000,0.4,[2592.54822437],187.13312590976204,73.5042735042735,140,16840.840107073458
1200000,20000,0.4,[2458.79769144],174.91807162272912,70.57302072526704,130,19337.739355401114
1200000,20000,0.4,[2460.91607321],165.1259164650368,68.32971800433839,120,21253.979568329974
1200000,20000,0.4,[2354.13034133],158.23663734292236,65.1487421139748,110,23373.827853874776
1200000,20000,0.4,[2343.18620648],148.21873475560665,61.714022776170204,100,25581.873650782843
1200000,20000,0.4,[2020.26355036],137.93367899020947,55.45017532703562,90,30932.97292062119
1200000,20000,0.4,[1751.35028793],122.17258206112781,48.59896935654773,80,37421.12323982249
1200000,20000,0.4,[1495.88259158],108.53501760102469,41.836383490936704,70,44916.415465990074
1200000,20000,0.4,[1272.64176787],93.35880114157223,34.792626728110605,60,56905.424773740335
1200000,20000,0.4,[1008.78698714],80.39793508815477,28.687486555047844,50,70415.62059326097
1200000,20000,0.4,[593.17484756],59.89778621125872,19.982334867356386,40,93572.53156564591
1200000,20000,0.4,[308.0638357],35.85321677974089,10.201952033998225,30,127112.66080985937
1200000,20000,0.4,[50.89345116],7.441156732821411,1.4726699039111182,20,186831.78797354092
