power,energy,effi,storage,charge,discharge,fuel_cost,Gasuse,solar,wind,discharge,charge
0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
500000,5000,0.38,[677.40429695],38.16269168828983,6.818548958276438,20,166252.4334804882,236675.2855250381,515229.49909058935,23963.11891512231,64797.93027101319
400000,5000,0.38,[884.10477291],43.45587201664355,8.568476285428645,20,161582.96663408205,245830.49963257439,518436.0197006872,28305.451887287636,76591.8390975387
350000,5000,0.38,[935.41418514],46.98452243404586,9.100813455383767,20,159463.8130061262,250006.01355132813,519001.4071873204,29786.430711378092,80612.5111670298
310000,5000,0.38,[1056.91750228],49.45715505244206,10.17600752536621,20,157653.80155611227,256265.15700602467,518839.70627768117,32255.361113768173,87233.74543451452
320000,5000,0.38,[1024.20296471],48.945183427942055,9.85088536812674,20,158443.05670381244,254679.45416769467,518438.83722512267,31559.9802359486,85378.90176592678
315000,5000,0.38,[1051.64521035],49.15745099717762,10.092160022486468,20,158067.17581879505,255847.33709448937,518526.07230780675,32072.706858234902,86743.02623773957
320000,5000,0.38,[1024.20296471],48.945183427942055,9.85088536812674,20,158443.05670381244,254679.45416769467,518438.83722512267,31559.9802359486,85378.90176592678
316000,5000,0.38,[1052.67858471],49.12725716183821,10.09026540061619,20,158060.70885917114,255840.46827609077,518546.8554156371,32074.74915398937,86752.32607079062
317000,5000,0.38,[1040.37417634],49.1333788551269,9.999999999999986,20,158058.41411841524,255326.15619174854,518725.478864748,31875.62821685275,86225.96384392922
500000,10000,0.38,[263.68312575],26.935461517078938,4.919481014370406,20,175229.066742234,221634.34921016335,506936.5707282859,16289.318886639458,43207.519455976195
400000,10000,0.38,[296.2312027],32.528439497833745,5.930793925067004,20,172249.8733955625,228574.19391934897,507255.09089270304,18843.876754450754,49904.57426282393
350000,10000,0.38,[314.28395964],35.53751571885235,6.446872786527584,20,170355.90371192378,231978.29879277255,507899.2532296166,20123.1330575422,53269.45701601803
310000,10000,0.38,[334.78908115],38.114711653781264,6.920415224913483,20,168932.1169576155,235282.93888392503,508026.56249620696,21309.550493084753,56400.14545421563
305000,10000,0.38,[335.7683777],38.42399477874609,6.941915907958145,20,168909.19724521023,235477.54521813095,507963.3078987286,21373.551774183034,56569.130093527754
301000,10000,0.38,[336.46888001],38.562438719960085,6.962643190782764,20,168802.06171914723,235777.53555071887,507891.36117654754,21445.439548172464,56758.070034694334
500000,20000,0.38,[90.67478066],15.156193171645711,2.504414016182409,20,183693.47505003202,203968.73798162493,502463.2046085295,8385.242942025558,22060.447370567745
400000,20000,0.38,[114.48230934],19.333096159951474,3.271851570788215,20,181003.99352812752,208724.9596700967,503907.72137534467,10474.763345131418,27549.20916032635
