power,energy,effi,storage,charge,discharge,fuel_cost,Gasuse,solar,wind,discharge,charge,Wind,Solar
0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250000,30000,0.85,[285.76295241],43.07088787467346,27.017554266804822,60,126707.45858106954,275969.05299222446,486018.1626318761,64413.8310241348,71090.52919969785,163.63777070223134,183.91809651068914
150000,30000,0.85,[461.18098013],72.97621206783927,41.909284735395744,60,102314.08457373107,351714.8915906606,442978.3441513489,106675.17824708643,117717.44719182192,145.77259475218656,221.72028726948187
250000,30000,0.85,[285.76295241],43.07088787467346,27.017554266804822,60,126707.45858106954,275969.05299222446,486018.1626318761,64413.8310241348,71090.52919969785,163.63777070223134,183.91809651068914
200000,30000,0.85,[374.4895954],58.23130419474399,34.88372093023257,60,113325.46523159514,313218.5210607292,466234.80054273654,85104.90150241175,93932.11941003017,155.03875968992247,202.78648331730477
160000,30000,0.85,[443.1122902],69.9154781413055,40.490982158163966,60,104560.78484293647,343740.4250951141,447815.23267679836,102129.05246413552,112704.77765844755,147.63343775267177,217.8152648148826
170000,30000,0.85,[434.29304202],68.10787427098423,39.24293044230051,60,106433.31499201857,340013.86534516595,449206.5602321907,99775.00891894077,110107.86653864245,148.18797453097437,215.77255144595912
180000,30000,0.85,[414.33885182],64.82592481074116,37.732844818075144,60,108789.09701611355,331124.4009970378,454770.2092090197,94820.6219354257,104645.82087636692,150.37593984962405,211.48590225380826
190000,30000,0.85,[397.68079331],62.12086150353739,36.43182590524131,60,110995.09773044157,323892.25220141973,459000.59574882546,90775.42064435217,100182.67367127986,152.07697151856146,207.84760756170186
200000,30000,0.85,[374.4895954],58.23130419474399,34.88372093023257,60,113325.46523159514,313218.5210607292,466234.80054273654,85104.90150241175,93932.11941003017,155.03875968992247,202.78648331730477
195000,30000,0.85,[383.48090263],59.91785178794217,35.41773675621735,60,112465.35452663309,317536.4514033966,463218.6219381589,87361.81974618458,96420.06813243263,153.79877619475613,204.80576516134298
191000,30000,0.85,[393.88529494],61.514641875173204,36.20943744013704,60,111353.89987791251,322025.6957497082,460319.09951064485,89805.08681425282,99113.58970383645,152.6090013393851,206.92745944323397
192000,30000,0.85,[389.73963552],60.878385675923866,35.93897722122565,60,111679.88367926142,320214.7893354135,461616.7605976046,88845.26672129265,98056.0327056345,153.1393568147014,206.13289606202815
193000,30000,0.85,[389.00274676],60.769894757989576,35.83114303296658,60,111855.9937562458,319973.19141607406,461649.38449468947,88680.36872596195,97873.70520530155,153.15460628484354,205.98740786708132
194000,30000,0.85,[387.22668866],60.502882370692554,35.726152206122634,60,111989.1716894185,319162.0177026289,462245.3048377175,88259.27389315824,97409.80513787185,153.3982047586572,205.61807463411682
195000,30000,0.85,[383.48090263],59.91785178794217,35.41773675621735,60,112465.35452663309,317536.4514033966,463218.6219381589,87361.81974618458,96420.06813243263,153.79877619475613,204.80576516134298
250000,50000,0.85,[129.30634272],22.091515792647833,16.42556261664039,60,153324.7798207675,226861.63000433933,502401.8971151287,34084.78159269083,37498.73479447241,173.15258162360246,158.38855337957017
150000,50000,0.85,[195.30980652],34.23313773270944,24.685004526933618,60,137246.30614145202,249899.49390849337,498475.46454306494,49478.666968185076,54487.44464514078,170.02293792766298,170.7041648245198
100000,50000,0.85,[241.63122685],43.35070702491349,30.81916075430965,60,127150.76973970886,267471.74142389797,493139.4192422965,60303.48114377127,66441.02656153332,167.10347643886558,180.3294690621654
60000,50000,0.85,[299.11128194],53.73923650956912,36.533831647991306,60,116945.41065675482,290490.61006637575,482941.6242080964,73444.78620872868,80968.28082423643,162.3175661176693,192.93931020880683
55000,50000,0.85,[303.05277738],54.76789401643758,37.14768351278251,60,116194.9530868816,292153.5492958056,482221.6947077392,74420.09729552275,82044.99753588406,161.99050641035436,193.79542868327414
51000,50000,0.85,[309.44294711],55.825472259153415,37.68840826834627,60,114951.84421772126,294096.2651230412,481778.8667179173,75677.9488490425,83441.41787906998,161.77867320232428,194.83867312135283
250000,100000,0.85,[11.67610467],2.537973604748717,2.110996212230006,60,187977.3746087937,189703.08039801643,499076.35271448764,4016.277338332655,4400.566990570401,176.6949526855054,140.23818083816164
150000,100000,0.85,[38.82409809],8.703000084490938,7.137347861897864,60,177014.5429804428,198540.00808950677,502863.0432516562,12771.743837694077,14003.877843652028,176.75284566583892,143.97752699504957
100000,100000,0.85,[55.48244445],12.848407424974837,10.38048350875813,60,171174.94725863927,205212.46089942538,503021.38898142515,17973.648457717918,19713.64077891031,175.7763355529203,147.50317073392793
60000,100000,0.85,[70.39871046],16.667658424879264,14.11110119387268,60,164777.57270053934,210332.1953983308,505174.757870388,22564.099762935653,24753.209855517798,176.09559221808004,150.3449206506176
55000,100000,0.85,[72.26479763],17.200788413673806,14.749663529209279,60,163875.39870998036,210741.4878074659,505775.4692871267,23130.72532501103,25375.02700758785,176.311502750543,150.48559248849162
51000,100000,0.85,[73.54815674],17.543007073742714,15.208517920298393,60,163159.73989363137,211066.97858522888,506241.903526524,23531.532898789737,25814.867295011965,176.49100161222628,150.67865795465087
250000,150000,0.85,[0.],0.0,0.0,60,193903.1005009322,186005.7023159692,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
150000,150000,0.85,[0.],0.0,0.0,60,193903.1005009322,186005.70231596916,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
100000,150000,0.85,[0.],0.0,0.0,60,193903.1005009322,186005.7023159692,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
60000,150000,0.85,[3.25014985],1.176270034505673,0.996833039230591,60,191682.13086146693,187099.5756256174,497463.5080797683,1314.4696223418728,1437.9577721614864,176.46165172780496,139.06580500403174
55000,150000,0.85,[4.27192011],1.5460615221373644,1.3102137780780383,60,190957.67525777558,187320.90948448057,498042.3899141419,1720.0102045413485,1881.6950662092634,176.67844522968198,139.14053193725664
51000,150000,0.85,[5.18450191],1.8763363313521293,1.5901060070671207,60,190561.7969806235,187601.71452337358,498224.48584705,2078.683798903195,2274.167652393346,176.67844522968198,139.20119927187065
250000,200000,0.85,[0.],0.0,0.0,60,193903.1005009322,186005.70231596916,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
150000,200000,0.85,[0.],0.0,0.0,60,193903.1005009322,186005.7023159692,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
100000,200000,0.85,[0.],0.0,0.0,60,193903.1005009322,186005.70231596916,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
60000,200000,0.85,[0.],0.0,0.0,60,193903.1005009322,186005.70231596916,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
55000,200000,0.85,[0.],0.0,0.0,60,193903.1005009322,186005.7023159692,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
51000,200000,0.85,[0.],0.0,0.0,60,193903.1005009322,186005.70231596916,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
250000,250000,0.85,[0.],0.0,0.0,60,193903.1005009322,186005.70231596916,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
150000,250000,0.85,[0.],0.0,0.0,60,193903.1005009322,186005.7023159692,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
100000,250000,0.85,[0.],0.0,0.0,60,193903.1005009322,186005.70231596916,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
60000,250000,0.85,[0.],0.0,0.0,60,193903.1005009322,186005.70231596916,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
55000,250000,0.85,[0.],0.0,0.0,60,193903.1005009322,186005.7023159692,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
51000,250000,0.85,[0.],0.0,0.0,60,193903.1005009322,186005.70231596916,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
250000,300000,0.85,[0.],0.0,0.0,60,193903.1005009322,186005.70231596916,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
150000,300000,0.85,[0.],0.0,0.0,60,193903.1005009322,186005.70231596916,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
100000,300000,0.85,[0.],0.0,0.0,60,193903.1005009322,186005.70231596916,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
60000,300000,0.85,[0.],0.0,0.0,60,193903.1005009322,186005.70231596916,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
55000,300000,0.85,[0.],0.0,0.0,60,193903.1005009322,186005.70231596916,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
