power,energy,effi,storage,charge,discharge,fuel_cost,Gasuse,solar,wind,discharge,charge,Wind,Solar,chargeeffi,dischargeeffi
0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500000,5000,0.6,[2817.8639418],93.76683192748364,59.36648232904913,100,47016.14492320717,365700.0516035482,543160.7010712568,114403.90689722722,150489.26405956823,179.79432597765876,224.09976401666833,0.7745966692414833,0.7745966692414834
700000,5000,0.6,[2682.38430328],70.85903281341709,48.703281244373635,100,53813.10173355862,309462.5219006041,580722.7432893862,96699.86646386875,127574.70301185013,195.04455800618388,200.02991212471116,0.7745966692414833,0.7745966692414834
900000,5000,0.6,[2385.022434],58.7748382642002,41.71656686626747,100,61720.229248203104,285914.8503824021,589428.4764510208,86897.66428967864,114610.26847651758,199.6007984031936,190.32276581227347,0.7745966692414833,0.7745966692414834
1100000,5000,0.6,[2094.17820634],49.859521202935106,35.9835243030586,100,69155.17764338058,267773.49409703404,593937.7997807261,78167.39896713558,103047.59297652164,203.22690697441715,182.90421627697546,0.7745966692414833,0.7745966692414834
1300000,5000,0.6,[1708.58562175],40.3803711672156,30.70151298969543,100,79783.05638956961,249199.5294757113,594685.3683908752,68278.70036433473,89811.89247872478,205.5349504644445,173.22377921239217,0.7745966692414833,0.7745966692414834
1500000,5000,0.6,[1461.12295507],33.66314242661417,25.908956896550936,100,88140.84765914518,236809.83555976785,592894.098446243,60043.94857964142,78922.67108086402,207.22967818079718,168.08325284413405,0.7745966692414833,0.7745966692414834
1700000,5000,0.6,[1340.17104232],28.33148357186108,21.26416019946963,100,94875.14806160002,226929.2407788926,590828.5985308082,52375.55085947875,68945.71724761518,209.4038292567297,165.3188125711024,0.7745966692414833,0.7745966692414834
1900000,5000,0.6,[1159.310065],23.394045642781013,17.56982816084694,100,102117.68602190174,218049.11816988606,587346.3051338922,45042.21429795177,59299.498691568966,210.8188538085756,162.16854568210738,0.7745966692414833,0.7745966692414834
2100000,5000,0.6,[956.75618132],18.72809268449343,14.167458525422957,100,109354.29452302288,210240.79133164012,582643.9184856146,37518.06123968812,49386.01063885238,211.9485552269825,160.3807147811318,0.7745966692414833,0.7745966692414834
2300000,5000,0.6,[749.42894023],14.14318720743357,10.464392923470607,100,116762.4337533959,201690.9162538905,577866.9744887121,28993.55614775045,38198.36769402003,214.13276231263382,158.60870986093082,0.7745966692414833,0.7745966692414834
2500000,5000,0.6,[516.93228887],9.473532645363871,6.919003068706658,100,124900.88230765279,192813.97867571347,572299.1541413133,19970.70633471209,26324.45204754435,216.30037873761356,156.4386503046947,0.7745966692414833,0.7745966692414834
2700000,5000,0.6,[252.13117041],4.517829649171026,3.3569028361591986,100,133757.51092246737,184745.01865985733,564487.2482392163,9972.8940272954,13139.229115544971,217.6646332518937,156.63386898515526,0.7745966692414833,0.7745966692414834
2900000,5000,0.6,[47.69815416],0.8267448358497026,0.6191693463605398,100,140200.60512932975,178504.08569046482,558622.3998509053,1892.58098077377,2493.9469372827093,219.3263788615833,157.58700912509664,0.7745966692414833,0.7745966692414834
2800000,5000,0.6,[146.19084844],2.579883176083513,1.9347019857153482,100,136782.63742744375,181563.13865865994,561731.081246173,5817.39208960115,7664.052646831088,218.7204332112655,157.46367957993166,0.7745966692414833,0.7745966692414834
2750000,5000,0.6,[196.66015961],3.4962976976659794,2.6045366929332516,100,135539.46942730897,183270.38375065298,562654.0767669025,7796.210334186301,10271.260493827462,217.88694252140212,157.21104713572606,0.7745966692414833,0.7745966692414834
2710000,5000,0.6,[241.39666395],4.321702365561478,3.215307384283874,100,134017.87069522333,184443.31679656278,564238.5854599642,9559.42500372567,12594.320580849693,217.79061036651666,156.776914326918,0.7745966692414833,0.7745966692414834
2720000,5000,0.6,[228.60233991],4.085123921783051,3.039926129146667,100,134462.83193533414,184182.31776190829,563701.7167695612,9055.856155895352,11930.89764079304,217.75130527569678,157.00828210743552,0.7745966692414833,0.7745966692414834
2730000,5000,0.6,[216.46687801],3.861961952251633,2.8750593950300685,100,134864.3682821429,183765.03556476237,563383.657875568,8579.768439462001,11303.55763824178,217.8649237472767,156.97299669346404,0.7745966692414833,0.7745966692414834
2725000,5000,0.6,[222.88918645],3.9798167388674197,2.957552249802387,100,134801.91052953425,184097.50882554994,563287.551439138,8827.772615761447,11630.370234888902,217.58789796257895,157.04932957782916,0.7745966692414833,0.7745966692414834
2730000,5000,0.6,[216.46687801],3.861961952251633,2.8750593950300685,100,134864.3682821429,183765.03556476237,563383.657875568,8579.768439462001,11303.55763824178,217.8649237472767,156.97299669346404,0.7745966692414833,0.7745966692414834
2726000,5000,0.6,[221.59414037],3.956050355090383,2.9414962399487714,100,134795.53433411176,184020.59173054283,563336.10833069,8778.235095463517,11565.091937791472,217.6678883763105,157.03330869349,0.7745966692414833,0.7745966692414834
2727000,5000,0.6,[220.30536621],3.9325069424395025,2.923887527106105,100,134844.84628608648,183960.08714272408,563311.9012271252,8727.77727901305,11498.586960993742,217.68701346394138,156.99774462604154,0.7745966692414833,0.7745966692414834
500000,10000,0.6,[1774.25945384],91.36217705989708,54.52178315211196,100,53956.201790902334,363722.9510704928,533000.4566412251,108566.77533972525,141942.03934942393,177.6492845620627,232.1735952765027,0.7745966692414833,0.7745966692414834
700000,10000,0.6,[1663.92317254],66.60206203225158,43.50502630470977,100,63852.88719048562,307023.0174335632,566641.4915111697,89056.16698503176,116633.78046876813,191.50838540776348,204.66545005409833,0.7745966692414833,0.7745966692414834
900000,10000,0.6,[1479.15497187],52.9047184822781,36.71967197207874,100,71873.2371966543,277688.05531241064,580032.0226296132,77528.72484622391,101566.69543645368,198.4126984126984,191.51983614663013,0.7745966692414833,0.7745966692414834
1100000,10000,0.6,[1287.24892962],42.139322013619115,30.559442970423902,100,80924.12383603235,254020.79810038774,587275.0360340223,66869.47303218988,87598.69658105359,203.6379971541821,179.86158265128998,0.7745966692414833,0.7745966692414834
1300000,10000,0.6,[1153.56736301],34.0315689182176,25.56520986322613,100,89645.09448926148,239046.19608121982,587674.9295015377,58396.813847459074,76501.5171182114,205.88566654104088,172.27693054995788,0.7745966692414833,0.7745966692414834
1500000,10000,0.6,[908.82412072],27.874331499216872,21.067798634848216,100,97745.53134576303,226863.50154944623,585598.0216594426,49614.240373860324,64927.695863133566,208.26438354921314,167.9150991059975,0.7745966692414833,0.7745966692414834
1700000,10000,0.6,[723.98550197],22.736931162166613,17.10231563385842,100,105312.86165309467,216950.21080378728,582434.3967819441,41690.844145294745,54522.55310086568,210.1659780174086,164.1652167550483,0.7745966692414833,0.7745966692414834
1900000,10000,0.6,[577.65359194],17.427487690001676,13.463897150743875,100,112134.72707125644,207631.99696443568,579419.4574995112,33701.79029335858,44065.233498307425,212.61941732003964,161.72210506582164,0.7745966692414833,0.7745966692414834
2100000,10000,0.6,[440.49105133],12.66094420600858,10.0265338266374,100,119510.7926103827,198982.88887675622,575220.1443374953,25756.95254606924,33672.32013528157,214.59227467811158,158.93006789121117,0.7745966692414833,0.7745966692414834
2300000,10000,0.6,[274.09998598],7.963689218670461,6.206459070497871,100,127752.72658752764,190374.2951417451,569280.5499689968,16592.30560561729,21688.611698760928,216.61325849769545,157.1653659425818,0.7745966692414833,0.7745966692414834
