power,energy,effi,storage,charge,discharge,fuel_cost,Gasuse,solar,wind,discharge,charge,Wind,Solar
0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500000,5000,0.45,[652.43406826],22.491265142638785,7.79766227884795,60,166846.20243674557,222486.17447786417,513619.8886303096,21625.300513051418,96668.13590579579,175.62350042124197,149.23284919515194
700000,5000,0.45,[372.23575604],12.059766311653375,4.12378605838843,60,179452.4857428735,205495.9018847908,506638.2357620077,12502.159760866187,55895.972716795135,175.43859649122808,143.03932719815253
900000,5000,0.45,[144.22805967],4.299294820040529,1.4938909783100702,60,188229.0685596484,192684.01921061485,501142.11024766916,4854.725123692138,21710.472931430395,176.18124125006847,139.50088446521812
800000,5000,0.45,[250.0407845],7.8659702385401715,2.682910472922152,60,184527.9199207693,198923.00183289777,503139.98596746975,8494.144630447094,37978.774652696295,175.43859649122808,141.17891612677823
750000,5000,0.45,[288.61797432],9.25744753471352,3.1774263937158587,60,182610.5437899493,201151.74426337733,504532.8991866318,9863.391629593461,44095.01519868061,175.54461695115424,141.89278900612146
800000,5000,0.45,[250.0407845],7.8659702385401715,2.682910472922152,60,184527.9199207693,198923.00183289777,503139.98596746975,8494.144630447094,37978.774652696295,175.43859649122808,141.17891612677823
760000,5000,0.45,[281.18819304],9.00867753440374,3.0941253737363468,60,182862.8995553428,200800.70212893042,504337.52504043415,9627.655426262496,43040.73304026176,175.55412069975299,141.84315334376964
770000,5000,0.45,[273.13507003],8.739168250403608,2.9928573778120784,60,183140.05237327542,200209.10830105413,504305.4892922468,9349.019204205195,41796.77391614256,175.6690924885357,141.59479561349144
780000,5000,0.45,[263.8676982],8.436394654416183,2.88250734412305,60,183639.02108144248,199855.8188212286,503783.6123822939,9047.312959737159,40447.762136114085,175.53552522475172,141.54540917182695
790000,5000,0.45,[254.33582415],8.014629537793999,2.755258813939463,60,184190.58246011205,199146.01451633518,503466.5523934081,8665.565305482085,38742.253037148046,175.5320238015533,141.26112396499212
785000,5000,0.45,[258.045906],8.247814425747096,2.80779299360787,60,183991.55183314005,199566.4758301746,503472.2085604848,8847.907744772809,39557.0070434523,175.46300785544253,141.4394081888952
790000,5000,0.45,[254.33582415],8.014629537793999,2.755258813939463,60,184190.58246011205,199146.01451633518,503466.5523934081,8665.565305482085,38742.253037148046,175.5320238015533,141.26112396499212
786000,5000,0.45,[257.48781347],8.229591318518198,2.801748936677402,60,184022.1703814341,199558.06448251408,503428.5938069056,8830.78530723476,39480.33333048575,175.44810661249565,141.4485474908433
787000,5000,0.45,[257.48781347],8.229591318518198,2.801748936677402,60,184022.1703814341,199558.06448251408,503428.5938069056,8830.78530723476,39480.33333048575,175.44810661249565,141.4485474908433
788000,5000,0.45,[257.16312589],8.209561314655318,2.7987162614275842,60,184027.47325354183,199536.58199168512,503428.11318055214,8817.49050024183,39420.72352951577,175.45358075554583,141.45040694726185
789000,5000,0.45,[256.35758162],8.153546332067835,2.78593914833732,60,184082.03905029103,199415.2226098169,503439.5453094164,8772.97611102874,39221.97310649397,175.47664413657523,141.3830607904265
790000,5000,0.45,[254.33582415],8.014629537793999,2.755258813939463,60,184190.58246011205,199146.01451633518,503466.5523934081,8665.565305482085,38742.253037148046,175.5320238015533,141.26112396499212
500000,10000,0.45,[227.97888175],13.004554119934175,4.284512212601527,60,179988.96589578508,206030.1343761855,504393.6438056428,11636.849268715438,51838.03624266681,175.30309118571148,143.94152900111166
700000,10000,0.45,[66.97865142],3.746019382653248,1.2290296828315463,60,189474.9073130645,191510.85093126775,499480.43431550264,3607.0863359696145,16065.622155166908,176.13925192301062,139.59104132908826
600000,10000,0.45,[142.19578859],7.952805392129463,2.611109504105995,60,184822.41691594897,198344.8424055463,502042.4669500063,7436.401326526274,33125.375673023045,175.792221111722,141.7241616561938
550000,10000,0.45,[175.1048287],9.793360546160715,3.213050477684689,60,182802.88872089345,201157.11971696533,503209.02813224006,9017.037162427141,40169.77953674244,175.74692442882252,142.58877993007886
600000,10000,0.45,[142.19578859],7.952805392129463,2.611109504105995,60,184822.41691594897,198344.8424055463,502042.4669500063,7436.401326526274,33125.375673023045,175.792221111722,141.7241616561938
560000,10000,0.45,[164.91305398],9.223349284024202,3.0293477510373883,60,183516.392166216,200276.57820653054,502775.4769591336,8532.710709549192,38010.824570820354,175.71329993479182,142.26163258093646
555000,10000,0.45,[169.91988793],9.503374286570349,3.1224028730896545,60,183122.27387166844,200682.8664242669,503061.1850727976,8772.966735270384,39081.69783430113,175.76785599770523,142.41045266967353
560000,10000,0.45,[164.91305398],9.223349284024202,3.0293477510373883,60,183516.392166216,200276.57820653054,502775.4769591336,8532.710709549192,38010.824570820354,175.71329993479182,142.26163258093646
556000,10000,0.45,[169.59741011],9.485338566869183,3.0948953916041546,60,183198.1210162888,200631.75486903416,502993.09242233593,8737.360299707108,38924.56246001277,175.74692442882252,142.38620103023248
500000,20000,0.45,[9.71127965],0.8141979254158116,0.2508062791384697,60,192808.78396341775,187055.25472935895,496993.855915862,694.8650825556139,3089.952771167836,176.23532459516173,138.70811278218144
400000,20000,0.45,[66.89500209],5.608506178968941,1.7964308152158406,60,187826.3992598822,193515.74777170082,500414.2056429888,4662.256212861643,20732.76991024745,176.30802367106668,140.2236039630504
350000,20000,0.45,[93.76106949],7.860968997635114,2.5204293235075714,60,185757.18894298168,197011.66920705896,501176.2067095751,6434.293726531645,28614.56229373571,175.95590374818127,141.48413384862278
310000,20000,0.45,[111.46970154],9.384480255958422,3.043626036047,60,184144.8834300537,198977.77380385576,502248.060802984,7588.752618011857,33748.92048321839,176.05633802816902,142.05776656617977
305000,20000,0.45,[114.10772842],9.659097497157319,3.1605519298120512,60,183893.25336616897,199396.62404905522,502336.2829748709,7796.214000129972,34670.08728568395,176.01781299704226,142.21942150726392
301000,20000,0.45,[115.59801067],9.813619397167136,3.200747665213941,60,183817.67867177253,199551.29589003464,502374.25842093426,7890.942167749281,35091.565476952084,175.99864060870195,142.2281724367646
500000,30000,0.45,[0.],0.0,0.0,60,193903.1005009322,186005.7023159692,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
400000,30000,0.45,[0.],0.0,0.0,60,193903.1005009322,186005.70231596916,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
350000,30000,0.45,[0.],0.0,0.0,60,193903.1005009322,186005.7023159692,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
310000,30000,0.45,[2.65308454],0.26686732622576365,0.08556454486817416,60,193461.41698100613,186251.88966381183,496549.74799445306,213.34312101310877,948.01957309689,176.21593554696972,138.4732316213067
305000,30000,0.45,[4.55690595],0.4583680944908747,0.14696462823637194,60,193430.08051733382,186524.5266523862,496496.3808511662,365.75772518538747,1625.303513303014,176.10764615831332,138.49821663975823
301000,30000,0.45,[6.6358879],0.6674878361059433,0.21401380869357883,60,192913.86335706303,186772.21416664816,496970.0734137421,532.1362142869414,2364.6615753135097,176.30032895990536,138.66897219360976
500000,40000,0.45,[0.],0.0,0.0,60,193903.1005009322,186005.7023159692,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
400000,40000,0.45,[0.],0.0,0.0,60,193903.1005009322,186005.7023159692,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
350000,40000,0.45,[0.],0.0,0.0,60,193903.1005009322,186005.70231596916,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
310000,40000,0.45,[0.],0.0,0.0,60,193903.1005009322,186005.7023159692,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
305000,40000,0.45,[0.],0.0,0.0,60,193903.1005009322,186005.7023159692,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
301000,40000,0.45,[0.],0.0,0.0,60,193903.1005009322,186005.7023159692,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
500000,50000,0.45,[0.],0.0,0.0,60,193903.1005009322,186005.70231596916,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
400000,50000,0.45,[0.],0.0,0.0,60,193903.1005009322,186005.7023159692,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
350000,50000,0.45,[0.],0.0,0.0,60,193903.1005009322,186005.7023159692,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
310000,50000,0.45,[0.],0.0,0.0,60,193903.1005009322,186005.70231596916,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
305000,50000,0.45,[0.],0.0,0.0,60,193903.1005009322,186005.70231596916,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
301000,50000,0.45,[0.],0.0,0.0,60,193903.1005009322,186005.7023159692,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
500000,5000,0.55,[910.85876297],30.265453494334892,11.907808849864992,60,155186.2745439993,238978.59524331463,509653.8691112712,33171.9961960742,134179.61720825048,172.72978656889217,157.42890992191414
700000,5000,0.55,[641.00320272],18.809521621746338,7.547183277304299,60,167713.4810300838,218950.57016508226,508326.70464774873,22617.4305608097,91538.010088194,174.11076595611243,149.32348671521024
900000,5000,0.55,[361.88338267],9.583596471829154,3.8321764028371006,60,180128.02706661716,202173.95333475998,504151.3266280313,12432.76856711577,50349.36631235327,175.14401050636525,142.62531580162175
1100000,5000,0.55,[134.90956529],3.3504730594448944,1.395211927978581,60,189008.8330562694,191457.93575810632,499476.48623587296,4691.560920518439,18996.59513568756,175.76611064531446,139.3492046228619
1000000,5000,0.55,[255.0891033],6.531663367256485,2.6429951643597107,60,184741.07804276803,197152.40872373135,501492.53905830404,8785.22109062351,35576.74321393932,175.13134851138355,140.98330141056408
1100000,5000,0.55,[134.90956529],3.3504730594448944,1.395211927978581,60,189008.8330562694,191457.93575810632,499476.48623587296,4691.560920518439,18996.59513568756,175.76611064531446,139.3492046228619
1050000,5000,0.55,[193.08483932],4.873081482398209,1.9997275827309486,60,186758.13740824,194068.2737405578,500797.0128732116,6689.220846219385,27087.818710103333,175.62772834636027,140.0560224089636
1010000,5000,0.55,[239.44321277],6.108254651749519,2.485637047317767,60,185104.9395435795,196277.79134667607,501564.20428655203,8263.211466166958,33462.32261454395,175.38554487892483,140.7041018742207
1005000,5000,0.55,[247.70594223],6.329766488130236,2.5677413040475017,60,184891.41816532338,196788.39143017135,501499.50746666285,8539.425218953063,34581.233018443556,175.23787535243252,140.91580740920128
1001000,5000,0.55,[253.56307911],6.492439796055664,2.626970227670739,60,184817.46164472608,197070.66314400258,501454.9047155547,8734.12536893207,35369.74072107377,175.13134851138355,140.94028047115813
500000,10000,0.55,[386.86138805],20.394727405728702,7.508264599773277,60,169555.77643143566,219714.25963772432,504097.63047178416,20858.135127823683,84096.76367128923,173.5538375478707,150.6045697729457
700000,10000,0.55,[189.78554516],9.229114068445528,3.5555606465979355,60,181766.26587137143,200802.7132984042,502084.8507546849,10394.928875167358,41907.26935918122,175.35352609709463,142.86315885217977
900000,10000,0.55,[36.35115154],1.7250774355322134,0.6438562232698419,60,191216.85019115987,188628.98184314344,497853.0225238608,2040.337359845571,8226.222219621268,176.19055306902607,139.1973944653716
800000,10000,0.55,[120.85874973],5.739962940600705,2.1773387770815176,60,186011.74608607974,194808.21159544514,500701.8454800438,6631.247403065846,26736.71124219596,175.94003817071666,140.74593209556295
750000,10000,0.55,[155.92808777],7.526225736192103,2.8229542286289893,60,184205.80802010655,197898.6968836487,500989.15946806304,8518.482348278618,34346.72278421326,175.40982991222202,141.75396010792574
710000,10000,0.55,[184.52198898],8.872681699408645,3.4161667731861836,60,182281.56190254688,200264.47873141879,501818.2299989673,10046.026428066625,40502.65353419916,175.3183280183714,142.64745849263815
720000,10000,0.55,[174.26247175],8.453404739061288,3.226850378941678,60,182871.30159935908,199612.38047705367,501474.09756785067,9558.21974064092,38535.19864678953,175.31367684974333,142.47885511957486
730000,10000,0.55,[171.17298863],8.284887210358992,3.1578947368420955,60,183002.07527997077,199212.17597859737,501591.49482143647,9375.141132395605,37797.95186728048,175.43859649122808,142.29384536259215
740000,10000,0.55,[163.81717551],7.912584786265299,2.9998160429989014,60,183509.25649165473,198574.4423348928,501381.9238644792,8966.064129687627,36149.71100557157,175.46761753864277,142.05907567027273
750000,10000,0.55,[155.92808777],7.526225736192103,2.8229542286289893,60,184205.80802010655,197898.6968836487,500989.15946806304,8518.482348278618,34346.72278421326,175.40982991222202,141.75396010792574
745000,10000,0.55,[161.28003876],7.789569356770355,2.942858675006845,60,183743.31092028486,198366.34188537838,501236.98711511615,8822.901248367167,35572.990572122406,175.43859649122808,141.96484599239707
750000,10000,0.55,[155.92808777],7.526225736192103,2.8229542286289893,60,184205.80802010655,197898.6968836487,500989.15946806304,8518.482348278618,34346.72278421326,175.40982991222202,141.75396010792574
746000,10000,0.55,[160.02898254],7.725095613101274,2.92078262699706,60,183791.30799998983,198310.12952202294,501193.202342618,8760.538695582758,35321.39283246974,175.43859649122808,141.98977189918165
747000,10000,0.55,[159.75767127],7.711868060001635,2.913892072127638,60,183820.73416891132,198276.9436230731,501183.04061653034,8743.754974414578,35253.84144244454,175.43859649122808,141.96783565855208
500000,20000,0.55,[90.67039387],6.876127887773421,2.5133778383403347,60,185444.8355840486,195737.00692403183,500449.32363222865,6793.159802127086,27333.517073359555,175.9686320607575,141.37650780949753
400000,20000,0.55,[150.36960463],11.403508771929836,4.168236352562802,60,180429.0330174725,202673.33765341094,501945.9356337281,10911.680303404359,43911.97053763511,175.43859649122808,144.14978786028973
500000,20000,0.55,[90.67039387],6.876127887773421,2.5133778383403347,60,185444.8355840486,195737.00692403183,500449.32363222865,6793.159802127086,27333.517073359555,175.9686320607575,141.37650780949753
450000,20000,0.55,[114.78185056],8.662746342318115,3.1817459605748177,60,183729.67743460927,198558.92912645455,500731.76238632825,8468.006887753112,34074.426837319355,175.54563221699212,142.37165447519834
410000,20000,0.55,[143.03984113],10.782540805907843,3.965055751455475,60,180922.66771075292,201818.71970245132,501889.2839198648,10408.431366203931,41886.02593840055,175.56662568289673,143.87316196106275
420000,20000,0.55,[136.97752653],10.346213311229974,3.797008756969524,60,181274.79871994778,200788.97287615886,502213.82264606876,9982.653838887674,40172.54577833881,175.87384139493687,143.3067705340649
430000,20000,0.55,[128.38839059],9.736379613356775,3.558918427906359,60,182244.97082875398,199905.92651418917,501647.21017888916,9404.988673041677,37846.81162872273,175.74692442882252,142.88989073126004
440000,20000,0.55,[121.6880893],9.192627149696069,3.373186480989154,60,182942.3204726304,199204.49429271853,501265.8576438839,8940.638572711658,35977.284160277886,175.6851154891106,142.61504154632922
450000,20000,0.55,[114.78185056],8.662746342318115,3.1817459605748177,60,183729.67743460927,198558.92912645455,500731.76238632825,8468.006887753112,34074.426837319355,175.54563221699212,142.37165447519834
445000,20000,0.55,[119.80165245],9.056256526617158,3.320894565641734,60,183183.59415874328,199052.0942370714,501072.0811521839,8814.274627508654,35468.49718611571,175.62006131148198,142.55719807400936
450000,20000,0.55,[114.78185056],8.662746342318115,3.1817459605748177,60,183729.67743460927,198558.92912645455,500731.76238632825,8468.006887753112,34074.426837319355,175.54563221699212,142.37165447519834
446000,20000,0.55,[118.85478983],8.981637982722042,3.294647590888647,60,183291.69798762086,198997.0979218068,500966.45061329455,8751.012625478344,35213.77012604121,175.58363459662107,142.5591312314832
500000,30000,0.55,[0.],0.0,0.0,60,193903.1005009322,186005.7023159692,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
400000,30000,0.55,[22.37535763],2.0358192298571507,0.7655598132440061,60,191231.01614658665,188539.62955059833,497831.9227576749,1936.8973672833386,7786.824808715039,176.28330876285824,139.15237147690476
350000,30000,0.55,[46.64428304],4.24392449793869,1.653248213275614,60,188301.83741562715,191276.47964017425,499747.2428393935,4019.6896113996218,16159.548914507934,176.56508399770982,139.96296785442578
310000,30000,0.55,[65.80088496],5.986885625631924,2.342756578285493,60,186622.43299541832,193729.55143296917,500279.05685525574,5597.1530309865075,22502.027492185516,176.2766126745749,140.74498132012832
305000,30000,0.55,[68.5862355],6.2403104101909666,2.4454275979636737,60,186428.95250222733,194276.81092768314,500119.0713710801,5831.399888252009,23443.716316333608,176.10332603600617,141.0472047371296
301000,30000,0.55,[72.09694345],6.559731752228728,2.565371830836604,60,186119.3454987791,194582.31896448784,500350.156180335,6105.4867286286735,24546.0762189074,176.13178802021278,141.04671259907414
500000,40000,0.55,[0.],0.0,0.0,60,193903.1005009322,186005.7023159692,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
400000,40000,0.55,[0.],0.0,0.0,60,193903.1005009322,186005.70231596916,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
350000,40000,0.55,[0.],0.0,0.0,60,193903.1005009322,186005.7023159692,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
310000,40000,0.55,[0.],0.0,0.0,60,193903.1005009322,186005.7023159692,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
305000,40000,0.55,[0.],0.0,0.0,60,193903.1005009322,186005.70231596916,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
301000,40000,0.55,[0.],0.0,0.0,60,193903.1005009322,186005.7023159692,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
500000,50000,0.55,[0.],0.0,0.0,60,193903.1005009322,186005.70231596916,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
400000,50000,0.55,[0.],0.0,0.0,60,193903.1005009322,186005.70231596916,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
350000,50000,0.55,[0.],0.0,0.0,60,193903.1005009322,186005.7023159692,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
310000,50000,0.55,[0.],0.0,0.0,60,193903.1005009322,186005.7023159692,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
305000,50000,0.55,[0.],0.0,0.0,60,193903.1005009322,186005.7023159692,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
301000,50000,0.55,[0.],0.0,0.0,60,193903.1005009322,186005.7023159692,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
500000,5000,0.65,[1284.01567247],39.96758201673424,17.18242925806831,60,138375.0093625295,262037.2674503504,503152.5013807944,49462.46581538081,184222.37363655498,169.20473773265653,170.5887856091035
700000,5000,0.65,[926.44730658],24.289009290884398,10.974812181901438,60,157041.78270192817,230706.59017481777,506769.0381430429,33166.9613934423,123611.04033219485,172.1375763828838,154.95601691629807
900000,5000,0.65,[623.57202267],15.694220512744952,6.8211218026096105,60,169571.61508864746,214618.5614630223,504322.17322540376,22382.784395884173,83457.02262114729,173.1949408873427,148.41909784487618
1100000,5000,0.65,[332.41472654],7.769601494420303,3.5825921663707163,60,181446.87213119937,199615.64392912737,501672.4007804895,12057.215788771273,44944.24438071024,174.6692170899081,142.03296576518687
1300000,5000,0.65,[74.38017608],1.7170072957059377,0.7659721786271771,60,190834.31882684183,188872.347816091,497836.2142589629,2759.1779414170373,10289.028276099732,175.94685783931357,139.15089436488225
1200000,5000,0.65,[216.62566446],4.916365284782568,2.2768972180202343,60,185684.88297192805,194274.94312424897,500427.97940679,7851.200101595472,29271.444051127244,175.44542689762972,140.2928522395558
1150000,5000,0.65,[267.97887456],6.170162988108911,2.8575636936175948,60,183722.2195475068,196649.00542456753,501069.14457773697,9738.00253703999,36301.386214076025,175.13134851138355,141.09575229064762
1200000,5000,0.65,[216.62566446],4.916365284782568,2.2768972180202343,60,185684.88297192805,194274.94312424897,500427.97940679,7851.200101595472,29271.444051127244,175.44542689762972,140.2928522395558
1160000,5000,0.65,[261.47836093],6.01485443677607,2.785636245598416,60,184002.91518944796,196330.57686825865,500976.2917995768,9504.206852617834,35429.91271097599,175.16101577369653,140.95188934505978
