power,energy,effi,storage,charge,discharge,fuel_cost,Gasuse,solar,wind,discharge,charge,Wind,Solar
0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500000,5000,0.5,[1257.1574866],43.00174849100881,19.499991881619394,60,129282.63056975964,257603.75636322337,540240.5450241291,50062.418227191,85267.21488497284,179.2001860789584,159.8794112995559
700000,5000,0.5,[910.81465326],29.401810277956343,13.268477034064764,60,147615.22785982778,234698.09410638124,531589.623717966,37137.32766860237,63232.69297949225,177.99423697105414,150.88253200195317
900000,5000,0.5,[609.5910398],19.656763528506076,8.483115227993537,60,162022.2085613237,218874.02401270406,521831.12531753455,26191.378831089045,44591.9781810356,177.01525100968368,146.3262609860132
1100000,5000,0.5,[359.18638175],11.980004340424784,5.070209807346408,60,174406.79159420572,205992.42437036888,512624.88484962913,16701.015390087043,28418.472153189283,176.346463528228,142.51456523410175
1000000,5000,0.5,[468.91822984],15.363737553939309,6.5015168772563365,60,169451.58035836884,211524.40801324847,516335.10967596073,20893.394203128257,35563.61912886742,176.36684303350972,143.83808812243012
1100000,5000,0.5,[359.18638175],11.980004340424784,5.070209807346408,60,174406.79159420572,205992.42437036888,512624.88484962913,16701.015390087043,28418.472153189283,176.346463528228,142.51456523410175
1050000,5000,0.5,[409.0250609],13.55638695111323,5.711995252331789,60,172459.47840963944,208362.15339642228,514170.6348905514,18626.667714502582,31699.598409654413,176.23926121059478,142.79124155031016
1100000,5000,0.5,[359.18638175],11.980004340424784,5.070209807346408,60,174406.79159420572,205992.42437036888,512624.88484962913,16701.015390087043,28418.472153189283,176.346463528228,142.51456523410175
1060000,5000,0.5,[397.7078402],13.231629864968383,5.557065247239978,60,173071.4647871217,207968.02827892595,513519.6371499618,18202.699739288437,30977.35926413192,176.09895779932873,142.7701617594558
1070000,5000,0.5,[383.26082061],12.795217601709993,5.35673587944521,60,173844.39642185115,207377.85475467113,512762.8953790597,17640.629689257097,30020.06350450779,175.96757816179405,142.68935589718262
1080000,5000,0.5,[374.73738673],12.520973398101862,5.264031786887671,60,174045.5351511825,206909.31562799632,512708.60558015155,17326.76870100714,29484.5162426606,176.08916024742066,142.6180635953423
1075000,5000,0.5,[380.77718779],12.71785804623335,5.326754720783271,60,173921.92304024598,207284.31707085783,512685.41061850503,17549.241280326678,29864.270787609687,175.97257486843256,142.70275993236953
1080000,5000,0.5,[374.73738673],12.520973398101862,5.264031786887671,60,174045.5351511825,206909.31562799632,512708.60558015155,17326.76870100714,29484.5162426606,176.08916024742066,142.6180635953423
1076000,5000,0.5,[379.63585572],12.681934227428762,5.316046579329197,60,173925.77942927604,207241.41618821147,512685.40457637666,17511.212213469098,29799.31965365766,175.99247847708327,142.71890051500975
500000,10000,0.5,[581.58818503],33.017723611940575,14.07516668452054,60,148502.73752368428,243452.09349186186,521451.15510803217,36892.82794934383,62607.90225172571,174.99966052032477,157.66024461555864
700000,10000,0.5,[397.35494484],20.70419992534393,8.733434764142988,60,163129.06597616264,221902.42670899528,516570.17900861346,25240.72970094411,42842.354033258125,175.61094806689263,149.47106486702603
900000,10000,0.5,[236.26998237],11.931613066759336,4.974942235528162,60,175779.21414894675,206434.70198725228,509473.6539775594,15469.339753000564,26254.372855660273,175.64705686593683,143.8391252782912
800000,10000,0.5,[313.94549747],16.31578947368422,6.704697663471332,60,169681.4818440971,214141.20087579236,512785.6472255636,20317.31340843597,34485.99699282524,175.43859649122808,146.6739226204359
900000,10000,0.5,[236.26998237],11.931613066759336,4.974942235528162,60,175779.21414894675,206434.70198725228,509473.6539775594,15469.339753000564,26254.372855660273,175.64705686593683,143.8391252782912
850000,10000,0.5,[274.73947596],14.028475544441127,5.778602514262445,60,173417.14308966303,210302.57215824563,510335.24452460516,17801.58157201672,30214.517736178408,175.13270908129655,145.08680901101496
900000,10000,0.5,[236.26998237],11.931613066759336,4.974942235528162,60,175779.21414894675,206434.70198725228,509473.6539775594,15469.339753000564,26254.372855660273,175.64705686593683,143.8391252782912
860000,10000,0.5,[267.14265689],13.581709123668581,5.614035087719287,60,173775.88085366887,209214.2976699408,510564.8722993577,17308.457002288826,29377.737953308828,175.43859649122808,144.62105849861643
855000,10000,0.5,[270.39933904],13.77090045745973,5.686794595541855,60,173596.6112153908,209720.53831089372,510457.2637790177,17524.922581047515,29744.98850754672,175.30335577036828,144.86738784147198
860000,10000,0.5,[267.14265689],13.581709123668581,5.614035087719287,60,173775.88085366887,209214.2976699408,510564.8722993577,17308.457002288826,29377.737953308828,175.43859649122808,144.62105849861643
856000,10000,0.5,[269.20542664],13.702000527928151,5.659686293186013,60,173667.16459500697,209527.31725487355,510498.53896101366,17444.58788324554,29608.709074723036,175.35374294946837,144.76791445646782
500000,20000,0.5,[209.76701203],23.16507975070313,8.989647304750768,60,164129.8140533608,223646.13706531812,511826.36641165405,23402.089498278587,39608.267741115225,175.19925995832594,152.30655665710466
700000,20000,0.5,[127.86871262],12.432956691044584,4.9048356958921895,60,177762.69825706186,206114.35131616567,506036.006691373,13791.458675860264,23345.21196558352,175.12921602966446,144.47532168874773
600000,20000,0.5,[163.12909612],17.596690470270318,7.022515739783039,60,171078.80576943854,214578.00965177186,509034.15903569985,18537.278111477728,31370.3903203165,175.13134851138355,148.17386877994375
700000,20000,0.5,[127.86871262],12.432956691044584,4.9048356958921895,60,177762.69825706186,206114.35131616567,506036.006691373,13791.458675860264,23345.21196558352,175.12921602966446,144.47532168874773
650000,20000,0.5,[148.69602017],15.42510106271802,5.9619567251127705,60,174513.05693643756,210959.28302233122,507106.851208743,16437.124738002323,27821.201518717957,174.79190199793163,146.4131996273532
610000,20000,0.5,[159.83809541],17.151179014002523,6.774788836851971,60,171752.97150823002,213709.04293764796,508763.1640403729,18073.78877442501,30587.327973559495,175.13134851138355,147.75877051946773
620000,20000,0.5,[155.51383727],16.62727628245456,6.618458704277619,60,172406.1591980072,212865.80147912767,508499.57098866045,17624.850386041617,29826.76446748017,175.13134851138355,147.3597107215525
630000,20000,0.5,[150.90651859],16.03177107911521,6.372287930938455,60,173473.77034579957,211791.29100384284,507925.08293553017,17048.145259069548,28850.897713499522,175.00506928796548,146.718266655068
625000,20000,0.5,[152.87037499],16.298282601642555,6.4892880477676265,60,172939.00978255167,212253.57562194602,508260.8421044175,17309.43517804366,29292.92931861844,175.10190194570038,147.01023216822176
621000,20000,0.5,[155.39648498],16.61310707950058,6.614349751402356,60,172417.0568243777,212851.69611887712,508491.76450723206,17613.952759671156,29808.300452150856,175.13134851138355,147.3597107215525
622000,20000,0.5,[154.87716822],16.549912434325748,6.5948128627530815,60,172522.95374976835,212716.64354504267,508460.8409828858,17554.48216807909,29707.561832617714,175.13134851138355,147.26954306639072
623000,20000,0.5,[154.6377916],16.51950234563523,6.582283217482711,60,172571.05086719853,212655.30378335438,508444.0551867528,17524.688889998248,29657.15305625503,175.13134851138355,147.2340667834782
624000,20000,0.5,[154.29100431],16.475849423004625,6.565238822157497,60,172587.50551215667,212633.34173546324,508416.29084538796,17491.671431910578,29601.29445400025,175.13134851138355,147.26616545640704
500000,30000,0.5,[111.10171723],17.03095414662148,6.431672867076331,60,173657.75315213163,211867.1279815033,506797.28270278254,16214.303553119165,27416.857124277554,175.13134851138355,147.66992404066363
400000,30000,0.5,[147.28263634],23.11960822464812,8.948163614953437,60,166599.8992240246,221221.71684944208,509594.3609021007,21274.40446586475,35973.053698418786,175.13134851138355,151.75235701606596
