HourUTC,HourDK,PriceArea,SpotPriceDKK,SpotPriceEUR
2015-12-31T23:00:00+00:00,2016-01-01T00:00:00,DK1,122.29,16.39
2015-12-31T22:00:00+00:00,2015-12-31T23:00:00,DK1,118.72,15.91
2015-12-31T21:00:00+00:00,2015-12-31T22:00:00,DK1,120.81,16.19
2015-12-31T20:00:00+00:00,2015-12-31T21:00:00,DK1,121.56,16.29
2015-12-31T19:00:00+00:00,2015-12-31T20:00:00,DK1,121.78,16.32
2015-12-31T18:00:00+00:00,2015-12-31T19:00:00,DK1,125.66,16.84
2015-12-31T17:00:00+00:00,2015-12-31T18:00:00,DK1,131.33,17.6
2015-12-31T16:00:00+00:00,2015-12-31T17:00:00,DK1,133.57,17.9
2015-12-31T15:00:00+00:00,2015-12-31T16:00:00,DK1,131.85,17.67
2015-12-31T14:00:00+00:00,2015-12-31T15:00:00,DK1,125.81,16.86
2015-12-31T13:00:00+00:00,2015-12-31T14:00:00,DK1,122.15,16.37
2015-12-31T12:00:00+00:00,2015-12-31T13:00:00,DK1,120.51,16.15
2015-12-31T11:00:00+00:00,2015-12-31T12:00:00,DK1,120.14,16.1
2015-12-31T10:00:00+00:00,2015-12-31T11:00:00,DK1,119.84,16.06
2015-12-31T09:00:00+00:00,2015-12-31T10:00:00,DK1,118.35,15.86
2015-12-31T08:00:00+00:00,2015-12-31T09:00:00,DK1,115.51,15.48
2015-12-31T07:00:00+00:00,2015-12-31T08:00:00,DK1,112.38,15.06
2015-12-31T06:00:00+00:00,2015-12-31T07:00:00,DK1,96.26,12.9
2015-12-31T05:00:00+00:00,2015-12-31T06:00:00,DK1,49.85,6.68
2015-12-31T04:00:00+00:00,2015-12-31T05:00:00,DK1,27.46,3.68
2015-12-31T03:00:00+00:00,2015-12-31T04:00:00,DK1,12.24,1.64
2015-12-31T02:00:00+00:00,2015-12-31T03:00:00,DK1,31.12,4.17
2015-12-31T01:00:00+00:00,2015-12-31T02:00:00,DK1,78.05,10.46
2015-12-31T00:00:00+00:00,2015-12-31T01:00:00,DK1,93.72,12.56
2015-12-30T23:00:00+00:00,2015-12-31T00:00:00,DK1,100.59,13.48
2015-12-30T22:00:00+00:00,2015-12-30T23:00:00,DK1,102.3,13.71
2015-12-30T21:00:00+00:00,2015-12-30T22:00:00,DK1,111.93,15
2015-12-30T20:00:00+00:00,2015-12-30T21:00:00,DK1,115.14,15.43
2015-12-30T19:00:00+00:00,2015-12-30T20:00:00,DK1,116.93,15.67
2015-12-30T18:00:00+00:00,2015-12-30T19:00:00,DK1,119.69,16.04
2015-12-30T17:00:00+00:00,2015-12-30T18:00:00,DK1,122.82,16.46
2015-12-30T16:00:00+00:00,2015-12-30T17:00:00,DK1,124.99,16.75
2015-12-30T15:00:00+00:00,2015-12-30T16:00:00,DK1,124.84,16.73
2015-12-30T14:00:00+00:00,2015-12-30T15:00:00,DK1,122.75,16.45
2015-12-30T13:00:00+00:00,2015-12-30T14:00:00,DK1,121.18,16.24
2015-12-30T12:00:00+00:00,2015-12-30T13:00:00,DK1,121.33,16.26
2015-12-30T11:00:00+00:00,2015-12-30T12:00:00,DK1,122,16.35
2015-12-30T10:00:00+00:00,2015-12-30T11:00:00,DK1,123.2,16.51
2015-12-30T09:00:00+00:00,2015-12-30T10:00:00,DK1,124.02,16.62
2015-12-30T08:00:00+00:00,2015-12-30T09:00:00,DK1,123.12,16.5
2015-12-30T07:00:00+00:00,2015-12-30T08:00:00,DK1,122.9,16.47
2015-12-30T06:00:00+00:00,2015-12-30T07:00:00,DK1,119.24,15.98
2015-12-30T05:00:00+00:00,2015-12-30T06:00:00,DK1,115.29,15.45
2015-12-30T04:00:00+00:00,2015-12-30T05:00:00,DK1,111.41,14.93
2015-12-30T03:00:00+00:00,2015-12-30T04:00:00,DK1,109.84,14.72
2015-12-30T02:00:00+00:00,2015-12-30T03:00:00,DK1,104.62,14.02
2015-12-30T01:00:00+00:00,2015-12-30T02:00:00,DK1,104.62,14.02
2015-12-30T00:00:00+00:00,2015-12-30T01:00:00,DK1,107.3,14.38
2015-12-29T23:00:00+00:00,2015-12-30T00:00:00,DK1,112.23,15.04
2015-12-29T22:00:00+00:00,2015-12-29T23:00:00,DK1,108.2,14.5
2015-12-29T21:00:00+00:00,2015-12-29T22:00:00,DK1,111.03,14.88
