power,energy,effi,storage,charge,discharge,fuel_cost,Gasuse,solar,wind,discharge,charge,Wind,Solar
0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400000,5000,0.35,[82.12842401],4.684960747308722,1.5146562174219198,60,187384.2118176061,193710.55475067487,505106.6698277245,4499.834718285649,10214.56568736353,177.13191327801815,139.51381003448893
300000,5000,0.35,[172.18782205],10.211435704846977,3.3718019588153307,60,180382.37709603665,203329.23251749633,513427.37835283834,9331.90782622215,21171.432334425244,177.76038016910803,141.87335860064744
250000,5000,0.35,[231.92891104],13.897842976462671,4.556256354653172,60,176961.8308351458,209218.13341229508,517568.407326316,12212.953353407269,27765.461588270144,177.73509058723803,142.88166582400396
210000,5000,0.35,[273.97685842],16.57790136603859,5.616216202661387,60,173234.16592933686,213356.26943270644,521936.40430818626,14346.28092357359,32567.834818833,178.52664834002846,144.0119102520829
205000,5000,0.35,[283.28984404],17.147191400832185,5.825069932504089,60,172569.6844593768,214351.3191595738,522600.67523842683,14784.283120373533,33563.38495338433,178.57142857142856,144.33079056865466
201000,5000,0.35,[291.03866844],17.59208480006188,5.99781670998091,60,171896.03550384578,215104.1909186314,523338.6296347566,15141.069724787558,34379.06478814701,178.7113750760819,144.60312269565242
400000,10000,0.35,[0.],0.0,0.0,60,193903.1005009322,186005.7023159692,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
300000,10000,0.35,[50.18130735],4.672295711773247,1.5161001495647497,60,187993.4521063909,193551.31660678607,503355.87453150126,4131.996776931796,9055.186898164886,176.8113103239412,139.7765088371698
250000,10000,0.35,[78.48489071],7.832435888797716,2.639191826463559,60,184322.8420364237,198918.1270122514,507109.04933181446,6711.747220575096,14633.890263733334,177.0196512246117,141.1800086305409
210000,10000,0.35,[101.03590436],10.441054503999743,3.5460992907801203,60,181229.70932968197,203225.814750185,510148.7177026613,8714.494950234357,18981.285950255744,177.3049645390071,142.45890214405773
205000,10000,0.35,[103.86774635],10.79957647016209,3.650410382278835,60,181171.38538345616,203850.10710560216,510098.6035695004,8956.651810325247,19507.958404730634,177.11321620904624,142.55475474618294
201000,10000,0.35,[105.54760782],10.999119527657257,3.7042488947552243,60,181106.2825644084,204185.915777933,510117.9774845756,9090.617861325545,19802.58897392543,177.03208856085686,142.61127993841112
400000,20000,0.35,[0.],0.0,0.0,60,193903.1005009322,186005.7023159692,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
300000,20000,0.35,[0.],0.0,0.0,60,193903.1005009322,186005.7023159692,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
250000,20000,0.35,[0.54181378],0.0881057268722704,0.029385042442048454,60,193621.80051682767,186075.12986326715,496450.6223821739,71.98173616155556,152.53439906147796,176.21145374449344,138.45185651353054
210000,20000,0.35,[17.94168132],2.9135876949982973,0.9699439161337078,60,190511.2481318867,190383.1389118687,499868.69642561756,2317.86917621921,4919.904909256417,176.52416414236416,139.21011318544166
205000,20000,0.35,[21.03191345],3.4202945287185194,1.1379700917067221,60,190131.65664282907,191143.09307329482,500288.0165000839,2706.4070049256734,5745.490467511051,176.48514424695992,139.2757660167131
201000,20000,0.35,[22.38583751],3.6352836473876002,1.2101991174856397,60,189879.86097376695,191412.5756962185,500612.2866567229,2872.1555874667215,6098.248614143764,176.55073875193798,139.28157062568317
400000,30000,0.35,[0.],0.0,0.0,60,193903.1005009322,186005.7023159692,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
300000,30000,0.35,[0.],0.0,0.0,60,193903.1005009322,186005.7023159692,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
250000,30000,0.35,[0.],0.0,0.0,60,193903.1005009322,186005.7023159692,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
210000,30000,0.35,[0.],0.0,0.0,60,193903.1005009322,186005.7023159692,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
205000,30000,0.35,[0.],0.0,0.0,60,193903.1005009322,186005.7023159692,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
201000,30000,0.35,[0.],0.0,0.0,60,193903.1005009322,186005.7023159692,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
400000,40000,0.35,[0.],0.0,0.0,60,193903.1005009322,186005.7023159692,496091.19718309864,0.0,0.0,176.05633802816902,138.43026259631154
