power,energy,effi,storage,charge,discharge,fuel_cost,Gasuse,solar,wind,discharge,charge,Wind,Solar
0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230000,5000,0.38,[2036.9338764],112.60035532777736,29.134030835074487,60,110786.96442546314,332548.53974731977,536218.6444232011,62587.53108721543,162818.8460895355,176.67844522968198,187.01708605066474
430000,5000,0.38,[1502.78831383],75.96491773822675,19.17696745064777,60,132946.1258514162,293301.382988267,529172.1095318558,48012.754146508836,124883.72506768678,174.65725884400874,170.3430521065162
630000,5000,0.38,[1231.89979451],57.4830338639521,14.123178105436544,60,145122.03361779495,270111.0713497469,526111.0206941782,39473.021436747185,102720.80415649778,174.21602787456447,161.9753592493908
530000,5000,0.38,[1404.94119533],66.01304055168595,16.48635597201007,60,138390.8580135866,281599.4978685535,528828.6250366559,43989.19410053307,114472.01151894247,174.71473646022997,166.11756014992378
630000,5000,0.38,[1231.89979451],57.4830338639521,14.123178105436544,60,145122.03361779495,270111.0713497469,526111.0206941782,39473.021436747185,102720.80415649778,174.21602787456447,161.9753592493908
580000,5000,0.38,[1311.86687755],61.39591439779661,15.176260448221697,60,142068.87027196106,276091.23265828,526768.1098572059,41638.89103599345,108355.7617469715,174.22846132473242,164.20361247947454
540000,5000,0.38,[1386.94489166],65.1671908059719,16.22674902501822,60,139335.96344693477,280413.0153615433,528239.1137349443,43488.85666138255,113167.41022070874,174.5276061978787,165.5480470875657
535000,5000,0.38,[1393.27434024],65.3266908822118,16.390944188399164,60,138777.2945052817,280569.12439107994,528966.5748042921,43685.808105077085,113678.82576961613,174.78475494295756,165.66137487725365
531000,5000,0.38,[1402.92379169],65.78482833541679,16.433566433566426,60,138553.60102273262,280884.4165036567,529120.7518881266,43830.87138994275,114061.84798836942,174.82517482517483,165.73762942116426
532000,5000,0.38,[1401.67950171],65.72293320315079,16.433200032734884,60,138567.18985364,280851.2022671099,529117.0073809406,43817.31424591436,114025.65947265273,174.8259413541111,165.73499240369736
533000,5000,0.38,[1397.06452177],65.51976287719924,16.42327334521972,60,138645.03198439698,280796.7628388373,529012.1560365855,43770.10213413475,113899.57193407534,174.79524351476974,165.75509136144237
230000,10000,0.38,[756.56240301],83.44021381439984,21.15563760942456,60,133538.86238154818,292479.81618715514,522942.7012805076,44361.40232893203,114976.32653458018,175.20969420127875,177.637139934159
430000,10000,0.38,[612.20141857],60.15783290546965,14.665718753349744,60,148740.82149273634,267786.0922166433,517576.79157840565,35320.754458071635,91555.97055093979,173.57616701876032,165.4270511962833
330000,10000,0.38,[680.31468543],69.93334540869938,17.268805947242466,60,142221.75926665202,278446.70332221733,519949.5685588269,39283.2775122872,101823.28248678378,174.21602787456447,170.34456058846303
280000,10000,0.38,[710.64041987],76.37852407861827,18.884408839620676,60,138457.1122049314,285213.55967945483,520734.7900634907,41590.05468260929,107795.60629787642,174.45285455288766,173.82957871371013
240000,10000,0.38,[742.44169934],81.41783062951075,20.471753850980914,60,134868.3598948473,290081.9001527046,522619.8808848993,43514.7770832288,112783.21965536637,175.13134851138355,176.40239517116183
235000,10000,0.38,[748.94679433],82.85916172487283,20.799602363819105,60,134242.69744704192,291367.8393066574,522661.81614921533,43942.17553524359,113890.23786939502,175.13134851138355,177.0308208379712
240000,10000,0.38,[742.44169934],81.41783062951075,20.471753850980914,60,134868.3598948473,290081.9001527046,522619.8808848993,43514.7770832288,112783.21965536637,175.13134851138355,176.40239517116183
236000,10000,0.38,[748.06126047],82.34718549033234,20.733220314163333,60,134370.21690734517,291090.99499398033,522667.3319080128,43854.581195280356,113663.46250452625,175.13134851138355,176.9039330104866
237000,10000,0.38,[746.20592049],82.27807093139238,20.66327087680518,60,134502.4679541724,290835.01213088166,522643.38166920806,43764.767966747626,113430.71712658952,175.13134851138355,176.7694688880353
230000,20000,0.38,[377.19976273],60.21191102429363,15.717161425987861,60,150693.0863889716,259229.3654533653,517639.14582034136,31422.138775964246,81324.06170986967,175.31480226246433,164.83785663797013
130000,20000,0.38,[422.01957337],70.1438792216897,22.310504683072566,60,146402.6909284112,272482.5392623885,515687.2265586478,35711.49298892627,92398.27074360636,173.8020029461464,170.07506494278527
80000,20000,0.38,[458.97310058],80.35705687648353,26.95649075988932,60,142080.3898840954,280584.86496822705,516649.9251626225,38604.63165809257,99881.41543957668,173.91284361218945,173.92720898607539
40000,20000,0.38,[487.1995578],89.85572659881038,32.48402795453146,60,138429.74847798637,287168.31625487265,517580.5706579267,40962.18242559043,105978.00146004865,174.07126192881563,177.3456035305176
35000,20000,0.38,[489.2880403],91.06683971447112,33.541855937702785,60,138216.07082590094,288130.485178534,517267.07892314,41228.54306118536,106665.33442898511,173.91304347826087,177.8066190785204
31000,20000,0.38,[489.75897736],92.59882601195372,34.977969921422115,60,138121.3129956311,288511.25264896627,517193.9193203245,41359.83244710985,107002.59106379113,173.85569539726706,177.91884241686367
230000,30000,0.38,[240.04012426],45.43816421690147,12.732882945122814,60,162090.02548656985,238719.374536117,514127.1580733794,23750.20054232682,61433.02346562525,175.13134851138355,156.25
130000,30000,0.38,[284.25691761],55.70443357330191,17.750116998074446,60,155095.3692840713,249477.3447706724,517232.8758586451,27944.227604081512,72274.8211671208,175.69587678832488,161.26789897328135
80000,30000,0.38,[312.37066354],63.841958069536716,21.501447543499054,60,151635.53031380568,256269.14349057965,517885.89845055516,30376.520862837104,78563.75125542194,175.61197417561732,164.14713544137484
40000,30000,0.38,[335.90525083],69.43217876425129,28.02049555682072,60,148876.37602825294,260956.45439215956,519152.5136402902,32329.15133628578,83608.20548904875,175.74692442882252,165.8456892497339
35000,30000,0.38,[341.93412674],71.17236093004234,29.288820974911655,60,148442.22781103756,262310.28777815355,518978.2927510772,32784.20095568255,84784.70911003178,175.57349815531344,166.3660777599139
31000,30000,0.38,[342.03606097],71.19141325868533,30.540885664849473,60,148361.36889056498,262439.47490694467,519052.440079367,32859.97812180724,84978.99675871024,175.57068731651523,166.38935108153078
230000,40000,0.38,[161.65636033],33.04394341787874,9.762092169184822,60,169828.93208652176,222724.72868179332,512604.07031556405,17793.592053903983,46012.296675027515,176.0654517278263,149.84069546521073
130000,40000,0.38,[202.01627316],43.241012903805164,13.568904593639573,60,163066.3135939138,232319.15530862176,516290.3786210738,21771.556627737322,56298.456068319734,176.67844522968198,154.19209765499517
80000,40000,0.38,[226.39884532],50.30995646398328,17.43387594667659,60,159691.50212576624,237984.03017840133,517839.71371360956,24116.794600134857,62359.39980555375,176.7505718304721,156.32216930568117
40000,40000,0.38,[248.86362545],58.7289426315404,21.761213096845964,60,156352.363157438,243177.30519134356,519412.8223692346,26209.303639238406,67768.75847010942,177.01083009763357,158.49813653681323
35000,40000,0.38,[250.74505643],59.097682170014075,22.41199657828113,60,156061.80702989275,243879.74751354993,519353.82041396736,26425.088739896197,68326.05442336007,176.94387498131758,158.87233596540725
31000,40000,0.38,[252.46230827],60.60048611727572,23.227269272114214,60,155843.4148939027,244254.70000968425,519463.57721984363,26587.993846073503,68746.69225011402,176.95841222006965,158.96295500308514
230000,50000,0.38,[105.07182476],24.15579321647347,7.0435836720700795,60,175978.38057524967,211040.44715481022,510093.6949488539,12888.39084669918,33320.895255100644,176.67844522968198,145.87136949666382
130000,50000,0.38,[133.68627219],32.071368093782276,10.021596615539696,60,170451.51120188716,217921.2274287425,513903.31816273887,16041.043895204932,41470.758674802026,177.3779339705403,148.84048822168765
80000,50000,0.38,[150.4844984],38.23040830621349,12.42905304485128,60,166912.8070372607,221555.45655183465,516761.9166001277,17844.718674342585,46133.40088629432,178.1675415013016,150.42888234541033
40000,50000,0.38,[177.10403865],45.515059718128406,16.894746957082283,60,164526.7692393272,227181.15666654625,517499.7545384449,20273.921297669178,52411.9697071478,177.61989342806396,151.75553948355358
35000,50000,0.38,[180.32729051],46.757812878508226,18.06034219708342,60,164239.74707670574,228297.6361578946,517254.28823154775,20631.111242008854,53334.32705399377,177.3918225904933,152.20603138415322
31000,50000,0.38,[180.41874762],47.4547879574899,18.934880163865266,60,163910.30959983336,228207.89770070804,517775.2649683674,20693.780074565555,53495.507296604956,177.61989342806396,152.18114136411782
230000,5000,0.42,[2117.54010363],120.99383277044382,35.137160540443745,60,100037.16694827251,358435.3501277666,523095.45610486047,75323.51109610645,177273.65459146595,172.0499720412633,201.0479421361163
430000,5000,0.42,[1655.6121434],84.6946652971566,23.36800582286614,60,122171.25867749064,312178.93395942316,523508.3384141226,58382.932370855924,137436.63415345448,172.51354823364306,179.8938069816065
630000,5000,0.42,[1368.81960311],62.87993505229483,16.58493057223616,60,137549.4140068476,280380.78605950926,523651.9164068886,46713.2111756645,110049.42109593174,173.06031001610756,166.6345378056142
830000,5000,0.42,[1099.73210195],48.75684060015606,12.180073789466855,60,152031.29285780306,257105.23350743315,519322.60214048426,37345.973264027874,88008.99973435338,172.22663368084582,156.56966698258714
730000,5000,0.42,[1255.1991584],55.967212415670794,14.386226658299634,60,144263.1093822362,269227.38043141516,521947.74303325516,42319.5780580326,99722.6546868403,172.71157167530225,161.76347697769725
680000,5000,0.42,[1304.3811383],59.02012260575049,15.448754668779827,60,140782.8284657398,274863.16188495123,522820.9553148837,44487.94400183222,104815.79187405879,172.90643217018442,164.47368421052633
730000,5000,0.42,[1255.1991584],55.967212415670815,14.386226658299636,60,144263.10938223623,269227.3804314151,521947.74303325516,42319.5780580326,99722.6546868403,172.71157167530225,161.76347697769722
