power,energy,effi,storage,charge,discharge,profit,Revenew
0,0,0.0,0,0.0,0.0,0,0.0
30000,5000,0.9,[84.61880897],11.64127088127852,1.0540925533894596,[76417.77057438],132141.7980558921
50000,5000,0.9,[74.79042668],8.379943427981896,1.0540925533894596,[67756.57506641],121506.4482230959
70000,5000,0.9,[70.55042893],6.4796993468081325,1.0540925533894596,[61063.26920531],114353.86426367401
90000,5000,0.9,[67.31075067],5.4921573024451975,1.0540925533894596,[55458.03783217],109395.90169149006
110000,5000,0.9,[61.85731262],4.746317586027345,1.0540925533894596,[50556.68772353],103850.31329244975
130000,5000,0.9,[56.82172744],3.99449451728451,1.0540925533894596,[46283.31608793],97864.6456860349
150000,5000,0.9,[52.1056109],3.4434985648484444,1.0540925533894596,[42504.99217591],92605.22428760098
170000,5000,0.9,[47.78031934],3.048513968131524,1.0540925533894596,[39099.6969828],88134.91103533578
190000,5000,0.9,[44.93166455],2.724168170925034,1.0540925533894596,[35987.7556958],84492.43760762169
210000,5000,0.9,[42.56061176],2.435633603629008,1.0540925533894596,[33115.79299727],81080.55160934696
230000,5000,0.9,[40.83934416],2.1297212494338336,1.0540925533894596,[30489.03819003],77540.91707176469
250000,5000,0.9,[39.82919894],1.9175127781206545,1.0540925533894596,[28064.57606065],74987.8209592571
270000,5000,0.9,[39.3118652],1.7357543103343702,1.0540925533894596,[25786.08249181],72783.73618591561
290000,5000,0.9,[38.25733326],1.6091177281695082,1.0540925533894596,[23632.54552347],70866.87017835764
310000,5000,0.9,[37.51071953],1.51086026338009,1.0540925533894596,[21577.7940927],69337.42614416985
330000,5000,0.9,[37.02448723],1.4301311463507802,1.0540925533894596,[19592.83714302],68066.16263870348
350000,5000,0.9,[36.1186608],1.3615844888913475,1.0540925533894596,[17667.62898081],66733.36246579258
370000,5000,0.9,[35.42848],1.3100599040556484,1.0540925533894596,[15789.08527843],65685.92305010986
390000,5000,0.9,[34.87381693],1.242999501814587,1.0540925533894596,[13958.89054214],64406.49025796084
410000,5000,0.9,[34.32741957],1.1933175426573823,1.0540925533894596,[12173.28030508],63362.674146231
430000,5000,0.9,[33.00082],1.1287470808560616,1.0540925533894596,[10438.84925484],61710.191370077475
450000,5000,0.9,[32.33324917],1.0839344828894235,1.0540925533894596,[8743.29769478],60626.189190092155
470000,5000,0.9,[31.55792252],1.029880654334435,1.0540925533894596,[7093.54286685],59292.71051110562
490000,5000,0.9,[30.73486287],0.9882994771273281,1.0540925533894596,[5481.34818069],58142.93097295082
510000,5000,0.9,[30.29978324],0.946127362346958,1.0540925533894596,[3900.0459229],57100.91692611002
530000,5000,0.9,[29.83441379],0.9136718502007407,1.0540925533894596,[2347.1737664],56219.51846286461
550000,5000,0.9,[29.37460227],0.8792804266739699,1.0540925533894596,[821.44884461],55271.327055339985
570000,5000,0.9,[0.],0.0,0.0,[0.],0.0
560000,5000,0.9,[29.09450156],0.8581248652462478,1.0540925533894596,[70.21995968],54676.52292971991
570000,5000,0.9,[0.],0.0,0.0,[0.],0.0
565000,5000,0.9,[0.],0.0,0.0,[0.],0.0
561000,5000,0.9,[29.09170093],0.8580422623068109,1.0540925533894596,[-4.63318616],54673.50262146903
560500,5000,0.9,[29.09450156],0.8581248652462478,1.0540925533894596,[32.78505964],54676.52292971991
561000,5000,0.9,[29.09170093],0.8580422623068109,1.0540925533894596,[-4.63318616],54673.50262146903
560600,5000,0.9,[29.09450156],0.8581248652462478,1.0540925533894596,[25.29807963],54676.52292971991
560700,5000,0.9,[29.09450156],0.8581248652462478,1.0540925533894596,[17.81109963],54676.52292971991
560800,5000,0.9,[29.09450156],0.8581248652462478,1.0540925533894596,[10.32411962],54676.52292971991
560900,5000,0.9,[29.09170093],0.8580422623068109,1.0540925533894596,[2.85346101],54673.50262146903
561000,5000,0.9,[29.09170093],0.8580422623068109,1.0540925533894596,[-4.63318616],54673.50262146903
30000,10000,0.9,[39.50378481],7.511459730812589,1.0540925533894596,[53287.23006313],99693.30456251865
50000,10000,0.9,[33.99476061],5.607119241836068,1.0540925533894596,[47277.86741633],91314.72770695624
70000,10000,0.9,[29.68790393],4.475305111694073,1.0540925533894596,[42528.6398957],84660.98292884679
90000,10000,0.9,[27.23731261],3.5940680329560157,1.0540925533894596,[38521.80539095],79455.33023946165
110000,10000,0.9,[25.17484889],3.163278173672148,1.0540925533894596,[35009.800244],75858.68972955013
130000,10000,0.9,[23.90590082],2.774180546485934,1.0540925533894596,[31838.68802115],72787.32664011893
150000,10000,0.9,[22.89945557],2.454110630908332,1.0540925533894596,[28937.65718497],70022.18292249394
170000,10000,0.9,[22.17283052],2.2327505418913627,1.0540925533894596,[26259.57589043],67915.12197687046
190000,10000,0.9,[21.30723481],1.989938575725547,1.0540925533894596,[23766.63883374],65349.48629202757
210000,10000,0.9,[20.49094219],1.804074398555603,1.0540925533894596,[21432.52587987],63101.401165374715
230000,10000,0.9,[20.14826861],1.677912667477854,1.0540925533894596,[19222.83727421],61642.99026882819
250000,10000,0.9,[19.74641905],1.5703799525632907,1.0540925533894596,[17110.41356729],60227.78825817257
270000,10000,0.9,[19.23255245],1.4519895191632106,1.0540925533894596,[15085.59231564],58513.052940798225
290000,10000,0.9,[19.14685805],1.3496947839503362,1.0540925533894596,[13147.06232431],57234.97081796294
310000,10000,0.9,[18.69932879],1.3051180442526302,1.0540925533894596,[11270.50845102],56312.21209304404
330000,10000,0.9,[18.00331434],1.189783327274102,1.0540925533894596,[9466.43621774],54213.61356539311
350000,10000,0.9,[17.98694951],1.1202829424523761,1.0540925533894596,[7731.79630731],53215.56569704318
370000,10000,0.9,[17.73725856],1.0785042041006379,1.0540925533894596,[6028.3410189],52375.80617621792
390000,10000,0.9,[17.10865983],1.0054481123863026,1.0540925533894596,[4390.47258995],50721.807473305715
410000,10000,0.9,[16.92536239],0.9581853798787275,1.0540925533894596,[2792.4031317],49787.72195115335
430000,10000,0.9,[16.92536239],0.9203809720391843,1.0540925533894596,[1231.39713502],49130.842850375346
450000,10000,0.9,[0.],0.0,0.0,[0.],0.0
440000,10000,0.9,[16.92536239],0.8909286292622092,1.0540925533894596,[464.86213265],48601.203812689666
450000,10000,0.9,[0.],0.0,0.0,[0.],0.0
445000,10000,0.9,[16.92536239],0.8763431330382013,1.0540925533894596,[85.15127093],48333.633174466064
450000,10000,0.9,[0.],0.0,0.0,[0.],0.0
446000,10000,0.9,[16.91401259],0.8744279871434187,1.0540925533894596,[9.67514139],48289.24030478868
447000,10000,0.9,[16.92269357],0.8727349174856829,1.0540925533894596,[-65.83099598],48264.91604733625
446500,10000,0.9,[16.92536239],0.8728139927505681,1.0540925533894596,[-28.11787619],48268.51280436538
446100,10000,0.9,[16.91566446],0.8742361241980354,1.0540925533894596,[2.11523222],48287.019617068785
446200,10000,0.9,[16.92449628],0.8732103148455378,1.0540925533894596,[-5.47646039],48275.14132031262
30000,20000,0.9,[16.93241757],4.4648735875624785,1.054092553389463,[34680.40278306],71336.25616137625
50000,20000,0.9,[15.87359751],3.5359698919237186,1.0540925533894596,[30507.44262544],67524.83402342153
70000,20000,0.9,[15.8642176],3.3472589487368545,1.0540925533894596,[26999.58264898],67030.61195737805
90000,20000,0.9,[14.8083664],2.7115202614373692,1.0540925533894596,[23781.84195626],62991.12128544832
110000,20000,0.9,[13.74898302],2.417967419860081,1.0540925533894596,[20951.67691312],59996.622359412555
130000,20000,0.9,[13.43920857],2.071230130580379,1.0540925533894596,[18286.43206767],57596.9034929047
150000,20000,0.9,[12.68343537],1.9123194214477846,1.0540925533894596,[15922.41232223],55449.868219101896
170000,20000,0.9,[11.62494068],1.7360110031516005,1.0540925533894596,[13679.08989491],52551.63424910196
190000,20000,0.9,[10.91589093],1.4898268787662658,1.0540925533894596,[11575.4635401],49502.25945988077
210000,20000,0.9,[10.40405395],1.3728548864200514,1.0540925533894596,[9630.32034579],47690.383198998956
230000,20000,0.9,[9.51588598],1.2556577109585856,1.0540925533894596,[7768.86324712],45164.92330932329
250000,20000,0.9,[9.30496748],1.1690265371456559,1.0540925533894596,[5969.61735464],43927.51014805844
270000,20000,0.9,[8.48447761],1.1134288222599333,1.0540925533894603,[4265.38436858],42016.15555053655
290000,20000,0.9,[8.45738908],0.9921932548400895,1.0540925533894596,[2630.53192686],40563.52119786063
310000,20000,0.9,[7.92217875],0.929404126585248,1.0540925533894596,[1052.45345373],38912.579275414944
330000,20000,0.9,[0.],0.0,0.0,[0.],0.0
320000,20000,0.9,[7.81989367],0.8938134021457725,1.0540925533894596,[280.57862458],38276.57149476627
330000,20000,0.9,[0.],0.0,0.0,[0.],0.0
325000,20000,0.9,[0.],0.0,0.0,[0.],0.0
321000,20000,0.9,[7.82086853],0.8933005664502082,1.0540925533894596,[204.28145682],38271.26385285673
322000,20000,0.9,[7.81721999],0.892533491762923,1.0540925533894596,[128.02485962],38255.07806598427
323000,20000,0.9,[7.80936404],0.8918944140837074,1.0540925533894596,[51.82523189],38233.83605956379
324000,20000,0.9,[7.79749198],0.8909286292622092,1.0540925533894596,[-24.31342821],38201.70215066385
323500,20000,0.9,[7.80205717],0.8913000042639858,1.0540925533894596,[13.75809605],38214.06222825183
324000,20000,0.9,[7.79749198],0.8909286292622092,1.0540925533894596,[-24.31342821],38201.70215066385
323600,20000,0.9,[7.80113678],0.8912251311918391,1.0540925533894596,[6.14312146],38211.57079364416
323700,20000,0.9,[7.80113678],0.8912251311918391,1.0540925533894596,[-1.47723011],38211.57079364416
30000,30000,0.9,[11.63420142],3.3454113410425497,1.0540925533894596,[22907.63461332],58486.856130313725
50000,30000,0.9,[10.56512214],2.785894843135363,1.0540925533894596,[19699.31242684],54788.75323151622
70000,30000,0.9,[9.50662745],2.2273221534289935,1.0540925533894596,[16919.84940745],50646.44421604629
90000,30000,0.9,[8.45298512],1.7835313898120662,1.0540925533894596,[14577.13181206],46525.97913453368
110000,30000,0.9,[7.54727969],1.5924327374425695,1.0540925533894596,[12401.28014339],43461.10225932023
130000,30000,0.9,[7.39096101],1.3938143280355837,1.0540925533894596,[10371.76183969],42003.12194414977
150000,30000,0.9,[7.24454607],1.2740634231510282,1.0540925533894596,[8494.60433356],40917.43415421922
170000,30000,0.9,[6.33907034],1.1148217679470525,1.0540925533894596,[6754.84976745],37650.79316786461
190000,30000,0.9,[6.33378889],1.1138929443200665,1.0540925533894598,[5051.03130343],37630.88989463127
210000,30000,0.9,[6.33378889],0.9550210380813939,1.0540925533894596,[3378.78033396],36238.40713796419
230000,30000,0.9,[5.91648024],0.8920453918864588,1.0540925533894596,[1827.55826921],34638.67350591704
250000,30000,0.9,[5.37453058],0.8103340236181568,1.0540925533894596,[337.99992999],32499.67443811337
270000,30000,0.9,[0.],0.0,0.0,[0.],0.0
260000,30000,0.9,[0.],0.0,0.0,[0.],0.0
255000,30000,0.9,[5.28145755],0.7963011252066429,1.0540925533894596,[-24.24039737],32125.941059176817
251000,30000,0.9,[5.34015502],0.8051511174209042,1.0540925533894596,[265.28096243],32361.78427587622
252000,30000,0.9,[5.28807039],0.7972981627073424,1.0540925533894596,[192.88537617],32152.540134145667
253000,30000,0.9,[5.28365908],0.7966330556464956,1.0540925533894596,[120.51293453],32134.809056190228
254000,30000,0.9,[5.28145755],0.7963011252066429,1.0540925533894596,[48.13832628],32125.941059176817
255000,30000,0.9,[5.28145755],0.7963011252066429,1.0540925533894596,[-24.24039737],32125.941059176817
254500,30000,0.9,[5.28145755],0.7963011252066429,1.0540925533894596,[11.94896445],32125.941059176817
255000,30000,0.9,[5.28145755],0.7963011252066429,1.0540925533894596,[-24.24039737],32125.941059176817
254600,30000,0.9,[5.28145755],0.7963011252066429,1.0540925533894596,[4.71109209],32125.941059176817
254700,30000,0.9,[5.28145755],0.7963011252066429,1.0540925533894596,[-2.52678028],32125.941059176817
30000,40000,0.9,[7.39096101],2.5980013373228465,1.0540925533894596,[15764.92668784],45764.66209353313
50000,40000,0.9,[6.33642907],1.671884150488421,1.0540925533894596,[13247.51550066],40418.643393281796
70000,40000,0.9,[6.33378889],1.6701434751201352,1.0540925533894596,[11095.49100954],40405.503789983224
90000,40000,0.9,[5.28145755],1.3926564380735145,1.0540925533894596,[9054.93129081],35979.55354115974
110000,40000,0.9,[5.27925695],1.1138929443200665,1.0540925533894596,[7256.52156516],34727.27417275353
130000,40000,0.9,[5.27705726],1.1134288222599331,1.0540925533894596,[5553.06189779],34717.57101145255
150000,40000,0.9,[5.27705726],1.113428822259933,1.0540925533894596,[3849.92561917],34717.57101145254
170000,40000,0.9,[4.64594999],0.8915618575897133,1.0540925533894596,[2189.93282277],31095.68027056728
190000,40000,0.9,[4.22428543],0.7429047323714376,1.0540925533894596,[722.6039806],28581.07172586243
210000,40000,0.9,[0.],0.0,0.0,[0.],0.0
200000,40000,0.9,[4.22252531],0.7425951887329495,1.0540925533894596,[20.38710629],28572.804032928972
210000,40000,0.9,[0.],0.0,0.0,[0.],0.0
205000,40000,0.9,[0.],0.0,0.0,[0.],0.0
