HourUTC,HourDK,PriceArea,SpotPriceDKK,SpotPriceEUR
2020-12-30T23:00:00+00:00,2020-12-31T00:00:00,DK1,167.32,22.49
2020-12-30T22:00:00+00:00,2020-12-30T23:00:00,DK1,155.76,20.94
2020-12-30T21:00:00+00:00,2020-12-30T22:00:00,DK1,172.05,23.13
2020-12-30T20:00:00+00:00,2020-12-30T21:00:00,DK1,340.37,45.76
2020-12-30T19:00:00+00:00,2020-12-30T20:00:00,DK1,380.32,51.13
2020-12-30T18:00:00+00:00,2020-12-30T19:00:00,DK1,389.17,52.32
2020-12-30T17:00:00+00:00,2020-12-30T18:00:00,DK1,410.14,55.14
2020-12-30T16:00:00+00:00,2020-12-30T17:00:00,DK1,446.29,60
2020-12-30T15:00:00+00:00,2020-12-30T16:00:00,DK1,417.13,56.08
2020-12-30T14:00:00+00:00,2020-12-30T15:00:00,DK1,413.64,55.61
2020-12-30T13:00:00+00:00,2020-12-30T14:00:00,DK1,399.21,53.67
2020-12-30T12:00:00+00:00,2020-12-30T13:00:00,DK1,392.59,52.78
2020-12-30T11:00:00+00:00,2020-12-30T12:00:00,DK1,403.82,54.29
2020-12-30T10:00:00+00:00,2020-12-30T11:00:00,DK1,377.12,50.7
2020-12-30T09:00:00+00:00,2020-12-30T10:00:00,DK1,388.05,52.17
2020-12-30T08:00:00+00:00,2020-12-30T09:00:00,DK1,391.99,52.7
2020-12-30T07:00:00+00:00,2020-12-30T08:00:00,DK1,384.85,51.74
2020-12-30T06:00:00+00:00,2020-12-30T07:00:00,DK1,350.93,47.18
2020-12-30T05:00:00+00:00,2020-12-30T06:00:00,DK1,268.37,36.08
2020-12-30T04:00:00+00:00,2020-12-30T05:00:00,DK1,160.52,21.58
2020-12-30T03:00:00+00:00,2020-12-30T04:00:00,DK1,152.33,20.48
2020-12-30T02:00:00+00:00,2020-12-30T03:00:00,DK1,150.55,20.24
2020-12-30T01:00:00+00:00,2020-12-30T02:00:00,DK1,150.77,20.27
2020-12-30T00:00:00+00:00,2020-12-30T01:00:00,DK1,153.97,20.7
2020-12-29T23:00:00+00:00,2020-12-30T00:00:00,DK1,256.32,34.46
2020-12-29T22:00:00+00:00,2020-12-29T23:00:00,DK1,146.05,19.64
2020-12-29T21:00:00+00:00,2020-12-29T22:00:00,DK1,281.32,37.83
2020-12-29T20:00:00+00:00,2020-12-29T21:00:00,DK1,292.55,39.34
2020-12-29T19:00:00+00:00,2020-12-29T20:00:00,DK1,325.42,43.76
2020-12-29T18:00:00+00:00,2020-12-29T19:00:00,DK1,378.07,50.84
2020-12-29T17:00:00+00:00,2020-12-29T18:00:00,DK1,395.1,53.13
2020-12-29T16:00:00+00:00,2020-12-29T17:00:00,DK1,411.91,55.39
2020-12-29T15:00:00+00:00,2020-12-29T16:00:00,DK1,406.03,54.6
2020-12-29T14:00:00+00:00,2020-12-29T15:00:00,DK1,405.88,54.58
2020-12-29T13:00:00+00:00,2020-12-29T14:00:00,DK1,398.89,53.64
2020-12-29T12:00:00+00:00,2020-12-29T13:00:00,DK1,389.75,52.41
2020-12-29T11:00:00+00:00,2020-12-29T12:00:00,DK1,409.01,55
2020-12-29T10:00:00+00:00,2020-12-29T11:00:00,DK1,404.55,54.4
2020-12-29T09:00:00+00:00,2020-12-29T10:00:00,DK1,380.97,51.23
2020-12-29T08:00:00+00:00,2020-12-29T09:00:00,DK1,411.54,55.34
2020-12-29T07:00:00+00:00,2020-12-29T08:00:00,DK1,403.43,54.25
2020-12-29T06:00:00+00:00,2020-12-29T07:00:00,DK1,365.8,49.19
2020-12-29T05:00:00+00:00,2020-12-29T06:00:00,DK1,322,43.3
2020-12-29T04:00:00+00:00,2020-12-29T05:00:00,DK1,277.08,37.26
2020-12-29T03:00:00+00:00,2020-12-29T04:00:00,DK1,253.29,34.06
2020-12-29T02:00:00+00:00,2020-12-29T03:00:00,DK1,254.85,34.27
2020-12-29T01:00:00+00:00,2020-12-29T02:00:00,DK1,281.62,37.87
2020-12-29T00:00:00+00:00,2020-12-29T01:00:00,DK1,292.55,39.34
2020-12-28T23:00:00+00:00,2020-12-29T00:00:00,DK1,288.54,38.8
2020-12-28T22:00:00+00:00,2020-12-28T23:00:00,DK1,313.5,42.14
2020-12-28T21:00:00+00:00,2020-12-28T22:00:00,DK1,348.91,46.9
2020-12-28T20:00:00+00:00,2020-12-28T21:00:00,DK1,339.24,45.6
2020-12-28T19:00:00+00:00,2020-12-28T20:00:00,DK1,364.6,49.01
2020-12-28T18:00:00+00:00,2020-12-28T19:00:00,DK1,413.56,55.59
2020-12-28T17:00:00+00:00,2020-12-28T18:00:00,DK1,423.67,56.95
2020-12-28T16:00:00+00:00,2020-12-28T17:00:00,DK1,423.9,56.98
2020-12-28T15:00:00+00:00,2020-12-28T16:00:00,DK1,390.12,52.44
2020-12-28T14:00:00+00:00,2020-12-28T15:00:00,DK1,376.43,50.6
2020-12-28T13:00:00+00:00,2020-12-28T14:00:00,DK1,386.33,51.93
2020-12-28T12:00:00+00:00,2020-12-28T13:00:00,DK1,379.04,50.95
2020-12-28T11:00:00+00:00,2020-12-28T12:00:00,DK1,386.55,51.96
2020-12-28T10:00:00+00:00,2020-12-28T11:00:00,DK1,370.93,49.86
2020-12-28T09:00:00+00:00,2020-12-28T10:00:00,DK1,370.33,49.78
2020-12-28T08:00:00+00:00,2020-12-28T09:00:00,DK1,321.98,43.28
2020-12-28T07:00:00+00:00,2020-12-28T08:00:00,DK1,366.24,49.23
2020-12-28T06:00:00+00:00,2020-12-28T07:00:00,DK1,293.78,39.49
2020-12-28T05:00:00+00:00,2020-12-28T06:00:00,DK1,100.95,13.57
2020-12-28T04:00:00+00:00,2020-12-28T05:00:00,DK1,95.52,12.84
