power,energy,effi,storage,charge,discharge,profit,Revenew
0,0,0.0,0,0.0,0.0,0,0.0
40000,2000,0.45,[316.75781472],52.68009911600086,1.4285714285714286,[91879.57374197],201654.41790030268
60000,2000,0.45,[242.02326124],29.74138709713565,1.4285714285714286,[69972.01093068],160113.45405942615
80000,2000,0.45,[197.91171821],21.192935923530598,1.4285714285714286,[55419.92613112],137136.8206936117
100000,2000,0.45,[171.13404546],16.71717925110284,1.4285714285714286,[44216.03795647],122056.04365855697
120000,2000,0.45,[144.22936096],12.962193690775377,1.4285714285714286,[35207.02522199],106665.3687732737
140000,2000,0.45,[122.9770618],10.617885936669238,1.4285714285714286,[27831.19585088],95088.59987441795
160000,2000,0.45,[109.04646011],8.25765560558906,1.4285714285714286,[21667.09819246],83317.78071787184
180000,2000,0.45,[99.21884481],6.537655381344452,1.4285714285714286,[16648.00168909],73912.52170728098
200000,2000,0.45,[87.08989637],5.334671863118967,1.4285714285714286,[12369.46174608],65805.8808779596
220000,2000,0.45,[78.86748439],4.300420433165796,1.4285714285714286,[8728.02954399],58670.71128021498
240000,2000,0.45,[69.42283545],3.5966459290888064,1.4285714285714286,[5524.5640708],52795.18667676019
260000,2000,0.45,[63.50798119],3.0605834237618343,1.4285714285714286,[2665.20685551],48247.564832908705
280000,2000,0.45,[58.92245646],2.7127724895943226,1.4285714285714286,[51.43090479],44999.20677597815
300000,2000,0.45,[0.],0.0,0.0,[0.],0.0
290000,2000,0.45,[0.],0.0,0.0,[0.],0.0
285000,2000,0.45,[0.],0.0,0.0,[0.],0.0
281000,2000,0.45,[0.],0.0,0.0,[0.],0.0
280500,2000,0.45,[0.],0.0,0.0,[0.],0.0
280100,2000,0.45,[58.92245646],2.7127724895943226,1.4285714285714286,[38.76980544],44999.20677597815
280200,2000,0.45,[58.85927312],2.7080511259426934,1.4285714285714286,[26.11720539],44953.51607372606
280300,2000,0.45,[58.85927312],2.705782700656641,1.4285714285714286,[13.47291002],44936.45021567901
280400,2000,0.45,[58.85927312],2.7055258855292137,1.4285714285714286,[0.83071081],44934.517117677606
280500,2000,0.45,[0.],0.0,0.0,[0.],0.0
40000,5000,0.45,[109.03707395],27.60867168060179,1.4285714285714286,[47169.26898359],122902.82012239582
