power,energy,effi,storage,charge,discharge,profit,Revenew
0,0,0.0,0,0.0,0.0,0,0.0
110000,2000,0.45,[134.79393039],14.532909329206728,1.4285714285714286,[65842.93862664],136401.32149357884
170000,2000,0.45,[92.06965485],7.10717165903149,1.4285714285714286,[45984.06743143],102402.58602690177
230000,2000,0.45,[72.50598875],4.174550125189702,1.4285714285714286,[34125.80339512],83958.31377010336
290000,2000,0.45,[61.59318205],2.8272756880751517,1.4285714285714286,[25393.24966766],72929.04251069644
350000,2000,0.45,[52.04746881],2.072510766611066,1.4285714285714286,[18260.92959594],64947.367332440335
410000,2000,0.45,[46.12769753],1.6626258983219206,1.4285714285714286,[12039.16636932],59825.227341984064
470000,2000,0.45,[41.50515617],1.3668789977782136,1.4285714285714286,[6391.56506967],55606.02633017998
530000,2000,0.45,[37.30592412],1.1880116217553771,1.4285714285714286,[1117.14169095],52538.49077390446
590000,2000,0.45,[0.],0.0,0.0,[0.],0.0
550000,2000,0.45,[0.],0.0,0.0,[0.],0.0
540000,2000,0.45,[36.71993282],1.1515646518321505,1.4285714285714286,[265.12153372],51920.41848895124
550000,2000,0.45,[0.],0.0,0.0,[0.],0.0
545000,2000,0.45,[0.],0.0,0.0,[0.],0.0
541000,2000,0.45,[36.75026853],1.150457056391698,1.4285714285714286,[180.43452624],51909.23240776354
542000,2000,0.45,[36.68905174],1.147935835767103,1.4285714285714286,[95.81110231],51862.72538230615
543000,2000,0.45,[36.64281424],1.144506891601272,1.4285714285714286,[11.28469809],51805.36184785314
544000,2000,0.45,[0.],0.0,0.0,[0.],0.0
543500,2000,0.45,[0.],0.0,0.0,[0.],0.0
543100,2000,0.45,[36.64281424],1.144506891601272,1.4285714285714286,[2.83382296],51805.36184785314
543200,2000,0.45,[0.],0.0,0.0,[0.],0.0
110000,5000,0.45,[55.09356263],8.221558644602446,1.4285714285714286,[44991.41454152],97385.58585145985
170000,5000,0.45,[38.15279475],4.424523097476758,1.4285714285714286,[31922.15698608],76631.23845608067
230000,5000,0.45,[29.89444581],2.7469300783016672,1.4285714285714286,[23082.24590674],64459.11545454237
290000,5000,0.45,[25.71650273],1.9277618732428543,1.4285714285714286,[16196.6761509],57164.20725888982
350000,5000,0.45,[23.20634607],1.522239491910939,1.4285714285714286,[10227.1711296],52705.07642081902
410000,5000,0.45,[21.67638691],1.2463170409654227,1.4285714285714286,[4777.30840338],49280.632327605585
470000,5000,0.45,[0.],0.0,0.0,[0.],0.0
430000,5000,0.45,[21.44384771],1.174143522285992,1.4285714285714286,[3050.43209467],48371.73143747382
450000,5000,0.45,[20.8505928],1.1023326349502962,1.4285714285714286,[1364.79064206],47285.59851286413
470000,5000,0.45,[0.],0.0,0.0,[0.],0.0
460000,5000,0.45,[20.63274733],1.0739485104195223,1.4285714285714286,[533.97620097],46850.247454490935
470000,5000,0.45,[0.],0.0,0.0,[0.],0.0
465000,5000,0.45,[20.56121927],1.059823119269412,1.4285714285714286,[121.97335978],46646.16103052121
470000,5000,0.45,[0.],0.0,0.0,[0.],0.0
466000,5000,0.45,[20.57186828],1.0588806833857594,1.4285714285714286,[39.74477337],46638.66831158797
467000,5000,0.45,[0.],0.0,0.0,[0.],0.0
466500,5000,0.45,[20.56433865],1.0578214639619592,1.4285714285714286,[-1.34991545],46622.3792055525
466100,5000,0.45,[20.57267504],1.0588092856886548,1.4285714285714286,[31.52379093],46638.099990254195
466200,5000,0.45,[20.56433865],1.0578214639619592,1.4285714285714286,[23.30455314],46622.3792055525
466300,5000,0.45,[20.56433865],1.0578214639619592,1.4285714285714286,[15.08639695],46622.3792055525
466400,5000,0.45,[20.56433865],1.0578214639619592,1.4285714285714286,[6.86824075],46622.3792055525
466500,5000,0.45,[20.56433865],1.0578214639619592,1.4285714285714286,[-1.34991545],46622.3792055525
110000,10000,0.45,[23.93308435],4.669967528192958,1.4285714285714286,[30528.95700399],69522.77276171248
170000,10000,0.45,[18.80027972],2.8926376058684733,1.4285714285714286,[21404.97045154],58900.19201853187
230000,10000,0.45,[15.92960075],1.9175694081584012,1.4285714285714286,[14390.3844377],51437.892124924176
290000,10000,0.45,[13.76502141],1.4021505897614595,1.4285714285714286,[8529.03189031],46135.17705461617
350000,10000,0.45,[12.92884327],1.144011542526823,1.4285714285714286,[3284.42878168],43276.727110213564
410000,10000,0.45,[0.],0.0,0.0,[0.],0.0
370000,10000,0.45,[12.3182309],1.0740895164607083,1.4285714285714286,[1615.07796583],42110.66828652434
390000,10000,0.45,[0.],0.0,0.0,[0.],0.0
380000,10000,0.45,[12.04832011],1.0291540066618101,1.4285714285714286,[795.23637191],41441.08322768937
390000,10000,0.45,[0.],0.0,0.0,[0.],0.0
385000,10000,0.45,[12.01250169],1.0121132500985475,1.4285714285714286,[389.47764028],41237.388683541976
390000,10000,0.45,[0.],0.0,0.0,[0.],0.0
386000,10000,0.45,[11.97622959],1.0077963995567087,1.4285714285714286,[308.5631298],41163.46402716297
387000,10000,0.45,[11.96916778],1.0055077322869759,1.4285714285714286,[227.7417017],41134.01210105102
388000,10000,0.45,[11.94571394],1.0021739944009682,1.4285714285714286,[147.02168024],41080.44308160167
389000,10000,0.45,[11.87165027],0.9974140372162277,1.4285714285714286,[66.43928888],40971.15369776248
390000,10000,0.45,[0.],0.0,0.0,[0.],0.0
389500,10000,0.45,[11.85551919],0.9954972949206062,1.4285714285714286,[26.17755299],40938.12969635295
390000,10000,0.45,[0.],0.0,0.0,[0.],0.0
389600,10000,0.45,[11.85551919],0.9954972949206062,1.4285714285714286,[18.12671458],40938.12969635295
389700,10000,0.45,[11.85551919],0.9954972949206062,1.4285714285714286,[10.07587617],40938.12969635295
389800,10000,0.45,[11.85551919],0.9954972949206062,1.4285714285714286,[2.02503776],40938.12969635295
389900,10000,0.45,[0.],0.0,0.0,[0.],0.0
110000,15000,0.45,[14.32251619],3.4352749911376805,1.4285714285714286,[22988.46818374],56362.30132919221
170000,15000,0.45,[11.50173387],2.242322589991757,1.4285714285714286,[15492.44992273],48772.49086422415
230000,15000,0.45,[10.04875629],1.5229091252260307,1.4285714285714286,[9405.36297557],43325.77997334079
290000,15000,0.45,[8.70540092],1.1342505138988133,1.4285714285714286,[4037.22051404],38987.96214346067
350000,15000,0.45,[0.],0.0,0.0,[0.],0.0
310000,15000,0.45,[8.81989036],1.067411688459077,1.4285714285714286,[2369.25225533],38586.79856775604
330000,15000,0.45,[8.69158394],0.9947553249220956,1.4285714285714286,[739.71352002],37807.25930032204
350000,15000,0.45,[0.],0.0,0.0,[0.],0.0
340000,15000,0.45,[0.],0.0,0.0,[0.],0.0
335000,15000,0.45,[8.66346031],0.9748165767679821,1.4285714285714286,[338.60373456],37595.27627897181
340000,15000,0.45,[0.],0.0,0.0,[0.],0.0
336000,15000,0.45,[8.66182764],0.9728284844275779,1.4285714285714286,[258.69293086],37575.4117486584
337000,15000,0.45,[8.65686043],0.9710975614938201,1.4285714285714286,[178.81785573],37553.7720815965
338000,15000,0.45,[8.65053895],0.9690888836796893,1.4285714285714286,[98.99111603],37527.930405079744
339000,15000,0.45,[8.64469757],0.9684344957648751,1.4285714285714286,[19.19515926],37514.9173034159
340000,15000,0.45,[0.],0.0,0.0,[0.],0.0
339500,15000,0.45,[0.],0.0,0.0,[0.],0.0
339100,15000,0.45,[8.64469757],0.9684344957648751,1.4285714285714286,[11.21697465],37514.9173034159
339200,15000,0.45,[8.64469757],0.9684344957648751,1.4285714285714286,[3.23879004],37514.9173034159
339300,15000,0.45,[0.],0.0,0.0,[0.],0.0
110000,20000,0.45,[9.0952953],2.7352388791109616,1.4285714285714286,[18365.54704054],47018.244578726415
170000,20000,0.45,[8.21269999],1.830526878976109,1.4285714285714286,[11629.23711158],42363.27909105841
230000,20000,0.45,[7.44905391],1.342154515818898,1.4285714285714286,[5955.51015071],38618.780206138006
290000,20000,0.45,[7.1844577],1.0381173653201818,1.4285714285714286,[820.73091693],36079.37079951888
350000,20000,0.45,[0.],0.0,0.0,[0.],0.0
310000,20000,0.45,[0.],0.0,0.0,[0.],0.0
300000,20000,0.45,[7.1672116],1.0200083004568068,1.4285714285714286,[6.89507246],35908.41590183337
310000,20000,0.45,[0.],0.0,0.0,[0.],0.0
305000,20000,0.45,[0.],0.0,0.0,[0.],0.0
301000,20000,0.45,[0.],0.0,0.0,[0.],0.0
300500,20000,0.45,[0.],0.0,0.0,[0.],0.0
300100,20000,0.45,[7.1672116],1.0200083004568068,1.4285714285714286,[-1.22156911],35908.41590183337
110000,25000,0.45,[7.19562511],2.24312067970412,1.4285714285714286,[15124.57236495],42161.59114483995
170000,25000,0.45,[7.16433581],1.6073550735276567,1.4285714285714286,[8662.3175098],39574.891730263
230000,25000,0.45,[5.96250798],1.1634404596925185,1.4285714285714286,[3180.26257158],34746.61066244963
290000,25000,0.45,[0.],0.0,0.0,[0.],0.0
250000,25000,0.45,[5.7573724],1.1234131704774475,1.4285714285714286,[1497.66328565],34082.42701381851
270000,25000,0.45,[0.],0.0,0.0,[0.],0.0
260000,25000,0.45,[5.75157185],1.1172408749375546,1.4285714285714286,[658.92736804],34028.34659468752
270000,25000,0.45,[0.],0.0,0.0,[0.],0.0
265000,25000,0.45,[5.7573724],1.1102014019638495,1.4285714285714286,[240.34575757],33990.25407077722
270000,25000,0.45,[0.],0.0,0.0,[0.],0.0
266000,25000,0.45,[5.76165366],1.1076182542188666,1.4285714285714286,[156.79503904],33980.46979723291
267000,25000,0.45,[5.77463577],1.099986052655043,1.4285714285714286,[73.3989194],33952.0391594682
268000,25000,0.45,[0.],0.0,0.0,[0.],0.0
267500,25000,0.45,[5.79055726],1.09382834290034,1.4285714285714286,[31.75353684],33939.90593049755
268000,25000,0.45,[0.],0.0,0.0,[0.],0.0
267600,25000,0.45,[5.79199438],1.0932725298535586,1.4285714285714286,[23.43931703],33938.80883176924
267700,25000,0.45,[5.79199438],1.0932725298535586,1.4285714285714286,[15.12598758],33938.80883176924
267800,25000,0.45,[5.79199438],1.0932725298535586,1.4285714285714286,[6.81265813],33938.80883176924
267900,25000,0.45,[5.79779217],1.0910302072635671,1.4285714285714286,[-1.50085178],33934.36212672299
110000,30000,0.45,[5.79199438],2.2312319912614575,1.4285714285714286,[12320.64811147],38828.49957628951
170000,30000,0.45,[5.72954491],1.4891554973012637,1.4285714285714286,[6235.86667271],36026.99293624119
230000,30000,0.45,[5.02599629],1.1202431991744943,1.4285714285714286,[900.61091222],32338.61246915602
290000,30000,0.45,[0.],0.0,0.0,[0.],0.0
250000,30000,0.45,[0.],0.0,0.0,[0.],0.0
240000,30000,0.45,[5.01629227],1.1180802720905332,1.4285714285714286,[62.33223272],32301.510997287285
250000,30000,0.45,[0.],0.0,0.0,[0.],0.0
245000,30000,0.45,[0.],0.0,0.0,[0.],0.0
241000,30000,0.45,[0.],0.0,0.0,[0.],0.0
240500,30000,0.45,[5.01628474],1.11807859245599,1.4285714285714286,[20.43261321],32301.48196101505
241000,30000,0.45,[0.],0.0,0.0,[0.],0.0
240600,30000,0.45,[5.01636046],1.1179611473158324,1.4285714285714286,[12.05266929],32300.906413775578
240700,30000,0.45,[5.01636046],1.1179611473158324,1.4285714285714286,[3.67305986],32300.906413775578
240800,30000,0.45,[0.],0.0,0.0,[0.],0.0
110000,35000,0.45,[5.72860005],2.2311333778556808,1.4285714285714286,[10007.29688418],38669.83187234259
170000,35000,0.45,[4.33894047],1.3525950763649375,1.4285714285714286,[4157.83417036],31712.098330544344
230000,35000,0.45,[0.],0.0,0.0,[0.],0.0
190000,35000,0.45,[4.32015624],1.1228438771071456,1.4285714285714286,[2410.73949934],30542.008195075196
210000,35000,0.45,[4.30290152],1.1183592341717263,1.4285714285714286,[733.54804032],30469.40969326096
230000,35000,0.45,[0.],0.0,0.0,[0.],0.0
220000,35000,0.45,[0.],0.0,0.0,[0.],0.0
215000,35000,0.45,[4.30290152],1.118329739597993,1.4285714285714286,[314.51450122],30469.23981981271
220000,35000,0.45,[0.],0.0,0.0,[0.],0.0
216000,35000,0.45,[4.30290152],1.1178006140138474,1.4285714285714286,[230.71790937],30466.180915501936
217000,35000,0.45,[4.30290152],1.1174701325242045,1.4285714285714286,[146.93341236],30464.26292933902
218000,35000,0.45,[4.30148836],1.1172490954803331,1.4285714285714286,[63.15655504],30458.989497532788
219000,35000,0.45,[0.],0.0,0.0,[0.],0.0
218500,35000,0.45,[4.30148836],1.1172490954803331,1.4285714285714286,[21.26806589],30458.989497532788
219000,35000,0.45,[0.],0.0,0.0,[0.],0.0
218600,35000,0.45,[4.30148836],1.1172490954803331,1.4285714285714286,[12.89036806],30458.989497532788
218700,35000,0.45,[4.30148836],1.1172490954803331,1.4285714285714286,[4.51267024],30458.989497532788
218800,35000,0.45,[0.],0.0,0.0,[0.],0.0
110000,40000,0.45,[4.32015624],1.6825829533997632,1.4285714285714286,[8068.91160487],32879.70134489333
170000,40000,0.45,[4.29859862],1.3400191525198566,1.4285714285714286,[2422.05917905],31537.186149753918
230000,40000,0.45,[0.],0.0,0.0,[0.],0.0
190000,40000,0.45,[4.29430002],1.1200395731205157,1.4285714285714286,[677.03094969],30451.378296807343
210000,40000,0.45,[0.],0.0,0.0,[0.],0.0
200000,40000,0.45,[0.],0.0,0.0,[0.],0.0
195000,40000,0.45,[4.29430002],1.1166828133998337,1.4285714285714286,[258.02636124],30434.060390650113
200000,40000,0.45,[0.],0.0,0.0,[0.],0.0
196000,40000,0.45,[4.29430002],1.11612474794843,1.4285714285714286,[174.27393419],30431.133260822444
197000,40000,0.45,[4.29430002],1.11612474794843,1.4285714285714286,[90.52714055],30431.133260822444
198000,40000,0.45,[4.29430002],1.1161236340626173,1.4285714285714286,[6.78036373],30431.127356695015
199000,40000,0.45,[0.],0.0,0.0,[0.],0.0
198500,40000,0.45,[0.],0.0,0.0,[0.],0.0
198100,40000,0.45,[4.29430002],1.1161236340626173,1.4285714285714286,[-1.59431264],30431.127356695015
110000,45000,0.45,[4.29859862],1.6741868476448798,1.4285714285714286,[6334.57042794],32783.11858294174
170000,45000,0.45,[4.29430002],1.3386791333673365,1.4285714285714286,[691.43075433],31516.896661517367
230000,45000,0.45,[0.],0.0,0.0,[0.],0.0
190000,45000,0.45,[0.],0.0,0.0,[0.],0.0
180000,45000,0.45,[0.],0.0,0.0,[0.],0.0
175000,45000,0.45,[4.09463754],1.2764375566896415,1.4285714285714286,[245.40141334],30503.003407241005
180000,45000,0.45,[0.],0.0,0.0,[0.],0.0
176000,45000,0.45,[3.98280028],1.2415740875887618,1.4285714285714286,[158.28022036],29933.638987028116
177000,45000,0.45,[3.98059845],1.240887700330715,1.4285714285714286,[71.17792944],29922.405054567687
178000,45000,0.45,[0.],0.0,0.0,[0.],0.0
177500,45000,0.45,[3.67008369],1.1440897085218544,1.4285714285714286,[28.60261051],28336.066030884165
178000,45000,0.45,[0.],0.0,0.0,[0.],0.0
