HourUTC,HourDK,FCR_DownExpected,FCR_DownPurchased,FCR_DownPriceDKK,FCR_DownPriceEUR,FCR_UpExpected,FCR_UpPurchased,FCR_UpPriceDKK,FCR_UpPriceEUR
2020-12-30T23:00:00+00:00,2020-12-31T00:00:00,20,20.3,49,6.59,20,24,84,11.29
2020-12-30T22:00:00+00:00,2020-12-30T23:00:00,20,20.3,49,6.59,20,20.9,125,16.81
2020-12-30T21:00:00+00:00,2020-12-30T22:00:00,20,20.3,49,6.59,20,20.9,125,16.81
2020-12-30T20:00:00+00:00,2020-12-30T21:00:00,20,20.3,49,6.59,20,20.9,125,16.81
2020-12-30T19:00:00+00:00,2020-12-30T20:00:00,20,20.3,49,6.59,20,20.9,125,16.81
2020-12-30T18:00:00+00:00,2020-12-30T19:00:00,20,22.6,40,5.38,20,22.3,223.1,29.99
2020-12-30T17:00:00+00:00,2020-12-30T18:00:00,20,22.6,40,5.38,20,22.3,223.1,29.99
2020-12-30T16:00:00+00:00,2020-12-30T17:00:00,20,22.6,40,5.38,20,22.3,223.1,29.99
2020-12-30T15:00:00+00:00,2020-12-30T16:00:00,20,22.6,40,5.38,20,22.3,223.1,29.99
2020-12-30T14:00:00+00:00,2020-12-30T15:00:00,20,20.6,32,4.3,20,20.9,125,16.81
2020-12-30T13:00:00+00:00,2020-12-30T14:00:00,20,20.6,32,4.3,20,20.9,125,16.81
2020-12-30T12:00:00+00:00,2020-12-30T13:00:00,20,20.6,32,4.3,20,20.9,125,16.81
2020-12-30T11:00:00+00:00,2020-12-30T12:00:00,20,20.6,32,4.3,20,20.9,125,16.81
2020-12-30T10:00:00+00:00,2020-12-30T11:00:00,20,22.6,40,5.38,20,20.9,125,16.81
2020-12-30T09:00:00+00:00,2020-12-30T10:00:00,20,22.6,40,5.38,20,20.9,125,16.81
2020-12-30T08:00:00+00:00,2020-12-30T09:00:00,20,22.6,40,5.38,20,20.9,125,16.81
2020-12-30T07:00:00+00:00,2020-12-30T08:00:00,20,22.6,40,5.38,20,20.9,125,16.81
2020-12-30T06:00:00+00:00,2020-12-30T07:00:00,20,22.3,40,5.38,20,21,70,9.41
2020-12-30T05:00:00+00:00,2020-12-30T06:00:00,20,22.3,40,5.38,20,21,70,9.41
2020-12-30T04:00:00+00:00,2020-12-30T05:00:00,20,22.3,40,5.38,20,21,70,9.41
2020-12-30T03:00:00+00:00,2020-12-30T04:00:00,20,22.3,40,5.38,20,21,70,9.41
2020-12-30T02:00:00+00:00,2020-12-30T03:00:00,20,23.3,40,5.38,20,21,70,9.41
2020-12-30T01:00:00+00:00,2020-12-30T02:00:00,20,23.3,40,5.38,20,21,70,9.41
2020-12-30T00:00:00+00:00,2020-12-30T01:00:00,20,23.3,40,5.38,20,21,70,9.41
2020-12-29T23:00:00+00:00,2020-12-30T00:00:00,20,23.3,40,5.38,20,21,70,9.41
2020-12-29T22:00:00+00:00,2020-12-29T23:00:00,20,22.2,79,10.62,20,20.9,125,16.81
2020-12-29T21:00:00+00:00,2020-12-29T22:00:00,20,22.2,79,10.62,20,20.9,125,16.81
2020-12-29T20:00:00+00:00,2020-12-29T21:00:00,20,22.2,79,10.62,20,20.9,125,16.81
2020-12-29T19:00:00+00:00,2020-12-29T20:00:00,20,22.2,79,10.62,20,20.9,125,16.81
2020-12-29T18:00:00+00:00,2020-12-29T19:00:00,20,20.8,32,4.3,20,21.9,125,16.81
2020-12-29T17:00:00+00:00,2020-12-29T18:00:00,20,20.8,32,4.3,20,21.9,125,16.81
2020-12-29T16:00:00+00:00,2020-12-29T17:00:00,20,20.8,32,4.3,20,21.9,125,16.81
2020-12-29T15:00:00+00:00,2020-12-29T16:00:00,20,20.8,32,4.3,20,21.9,125,16.81
2020-12-29T14:00:00+00:00,2020-12-29T15:00:00,20,20.8,32,4.3,20,20.2,70,9.41
2020-12-29T13:00:00+00:00,2020-12-29T14:00:00,20,20.8,32,4.3,20,20.2,70,9.41
2020-12-29T12:00:00+00:00,2020-12-29T13:00:00,20,20.8,32,4.3,20,20.2,70,9.41
2020-12-29T11:00:00+00:00,2020-12-29T12:00:00,20,20.8,32,4.3,20,20.2,70,9.41
2020-12-29T10:00:00+00:00,2020-12-29T11:00:00,20,20.8,32,4.3,20,20.8,125,16.81
2020-12-29T09:00:00+00:00,2020-12-29T10:00:00,20,20.8,32,4.3,20,20.8,125,16.81
2020-12-29T08:00:00+00:00,2020-12-29T09:00:00,20,20.8,32,4.3,20,20.8,125,16.81
2020-12-29T07:00:00+00:00,2020-12-29T08:00:00,20,20.8,32,4.3,20,20.8,125,16.81
2020-12-29T06:00:00+00:00,2020-12-29T07:00:00,20,20.3,40,5.38,20,20.4,125,16.81
2020-12-29T05:00:00+00:00,2020-12-29T06:00:00,20,20.3,40,5.38,20,20.4,125,16.81
