HourUTC,HourDK,PriceArea,ImbalanceSurplus,ImbalanceDeficit,RegulatingPowerDown,RegulatingPowerUp,BalancingPowerPriceUpDKK,BalancingPowerPriceUpEUR,BalancingPowerPriceDownDKK,BalancingPowerPriceDownEUR,BalancingPowerConsumptionPriceDKK,BalancingPowerConsumptionPriceEUR,IGCC_PriceUpDKK,IGCC_PriceUpEUR,IGCC_PriceDownDKK,IGCC_PriceDownEUR
2020-12-30T23:00:00+00:00,2020-12-31T00:00:00,DK1,168.141,0,0,0,167.32,22.44098712,167.32,22.44098712,167.32,22.44098712,,,,
2020-12-30T22:00:00+00:00,2020-12-30T23:00:00,DK1,182.506,0,0,0,155.76,20.89055794,155.76,20.89055794,155.76,20.89055794,,,,
2020-12-30T21:00:00+00:00,2020-12-30T22:00:00,DK1,222.258,0,0,0,172.05,23.07537554,172.05,23.07537554,172.05,23.07537554,,,,
2020-12-30T20:00:00+00:00,2020-12-30T21:00:00,DK1,279.345,0,0,0,340.37,45.65048283,340.37,45.65048283,340.37,45.65048283,,,,
2020-12-30T19:00:00+00:00,2020-12-30T20:00:00,DK1,184.328,0,0,0,380.32,51.00858369,380.32,51.00858369,380.32,51.00858369,,,,
2020-12-30T18:00:00+00:00,2020-12-30T19:00:00,DK1,334.623,0,0,0,389.17,52.19554721,389.17,52.19554721,389.17,52.19554721,,,,
2020-12-30T17:00:00+00:00,2020-12-30T18:00:00,DK1,273.81,0,0,0,410.14,55.00804721,410.14,55.00804721,410.14,55.00804721,,,,
2020-12-30T16:00:00+00:00,2020-12-30T17:00:00,DK1,263.159,0,0,0,446.29,59.85649142,446.29,59.85649142,446.29,59.85649142,,,,
2020-12-30T15:00:00+00:00,2020-12-30T16:00:00,DK1,180.038,0,0,0,417.13,55.94554721,417.13,55.94554721,417.13,55.94554721,,,,
2020-12-30T14:00:00+00:00,2020-12-30T15:00:00,DK1,324.992,0,0,0,413.64,55.47746781,413.64,55.47746781,413.64,55.47746781,,,,
2020-12-30T13:00:00+00:00,2020-12-30T14:00:00,DK1,202.112,0,0,0,399.21,53.54211373,399.21,53.54211373,399.21,53.54211373,,,,
2020-12-30T12:00:00+00:00,2020-12-30T13:00:00,DK1,263.128,0,0,0,392.59,52.6542382,392.59,52.6542382,392.59,52.6542382,,,,
2020-12-30T11:00:00+00:00,2020-12-30T12:00:00,DK1,152.385,0,0,0,403.82,54.16040773,403.82,54.16040773,403.82,54.16040773,,,,
2020-12-30T10:00:00+00:00,2020-12-30T11:00:00,DK1,249.982,0,0,0,377.12,50.57939914,156.2,20.94957082,156.2,20.94957082,,,,
2020-12-30T09:00:00+00:00,2020-12-30T10:00:00,DK1,233.516,0,0,0,388.05,52.04533262,388.05,52.04533262,388.05,52.04533262,,,,
2020-12-30T08:00:00+00:00,2020-12-30T09:00:00,DK1,224.313,0,0,0,391.99,52.57376609,391.99,52.57376609,391.99,52.57376609,,,,
2020-12-30T07:00:00+00:00,2020-12-30T08:00:00,DK1,249.125,0,0,0,384.85,51.61614807,384.85,51.61614807,384.85,51.61614807,,,,
2020-12-30T06:00:00+00:00,2020-12-30T07:00:00,DK1,166.775,0,0,0,350.93,47.06679185,350.93,47.06679185,350.93,47.06679185,,,,
2020-12-30T05:00:00+00:00,2020-12-30T06:00:00,DK1,40.76,0,0,0,268.37,35.99383047,268.37,35.99383047,268.37,35.99383047,,,,
2020-12-30T04:00:00+00:00,2020-12-30T05:00:00,DK1,105.848,0,0,0,160.52,21.52896996,160.52,21.52896996,160.52,21.52896996,,,,
2020-12-30T03:00:00+00:00,2020-12-30T04:00:00,DK1,90.58,0,0,0,152.33,20.43052575,152.33,20.43052575,152.33,20.43052575,,,,
