power,energy,effi,storage,charge,discharge,fuel_cost,Gasuse,solar,wind,discharge,charge,Wind,Solar
0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250000,30000,0.85,[1515.12589802],216.51559019823182,99.99999999999999,60,73500.27191377635,880198.2971390944,0.0,426179.16874027473,464552.32046240725,0.0,441.4443377939078
450000,30000,0.85,[1504.85074526],205.9318716329955,99.99999999999999,60,75536.19408421234,877671.0474730177,0.0,423726.66497075715,461838.2421400178,0.0,446.6158709970737
650000,30000,0.85,[648.51539501],93.14603795290115,41.46474636434075,60,338589.15832345723,570129.7796082497,0.0,179829.73974616994,195960.19831900008,0.0,297.60560547442395
850000,30000,0.85,[0.],0.0,0.0,60,561835.9788359788,314164.0211640211,0.0,0.0,0.0,0.0,176.36684303350972
750000,30000,0.85,[207.05790532],31.114819831486102,11.88891023871122,60,488040.30130141677,397962.2942224,0.0,55006.61370491679,59935.529461776365,0.0,213.86186835264266
850000,30000,0.85,[0.],0.0,0.0,60,561835.9788359788,314164.0211640211,0.0,0.0,0.0,0.0,176.36684303350972
800000,30000,0.85,[89.33912617],13.86044033864978,5.129699588969534,60,529519.5169161838,350754.51111268543,0.0,23523.841860697983,25628.369726490713,0.0,192.00748792352408
850000,30000,0.85,[0.],0.0,0.0,60,561835.9788359788,314164.0211640211,0.0,0.0,0.0,0.0,176.36684303350972
810000,30000,0.85,[63.92731142],9.917946637488939,3.6705967160279185,60,539008.9248531174,340021.2423820983,0.0,16681.768258052532,18173.506561947604,0.0,186.93528339709005
805000,30000,0.85,[72.9692787],11.320754716981128,4.18977098848651,60,535665.548721441,343803.41970137856,0.0,19095.772033275978,20803.662780224822,0.0,188.67924528301887
810000,30000,0.85,[63.92731142],9.917946637488939,3.6705967160279185,60,539008.9248531174,340021.2423820983,0.0,16681.768258052532,18173.506561947604,0.0,186.93528339709005
806000,30000,0.85,[71.61799576],11.1111111111111,4.112182636847869,60,536224.021681906,343177.5497965385,0.0,18725.130860466903,20399.811590688,0.0,188.32391713747646
807000,30000,0.85,[66.51974003],10.320146699435682,3.8194495260428076,60,538133.8254166683,341019.6792448337,0.0,17360.49334839723,18912.97166490841,0.0,187.30075840311662
250000,50000,0.85,[1467.26208458],214.74649534911018,99.99999999999999,60,78459.34850961495,874284.2797527441,0.0,421270.638018945,459146.46683465794,0.0,440.8214220575774
450000,50000,0.85,[722.73583317],108.15047021943576,47.44636535541757,60,309395.4139557695,604056.9787006456,0.0,205846.9057934468,224310.86984866715,0.0,313.4796238244514
650000,50000,0.85,[27.87875576],5.045045045045004,1.6007504000802149,60,551714.8187991622,325703.26472849195,0.0,7796.712732369463,8495.622378418306,0.0,180.18018018018012
550000,50000,0.85,[211.02622],33.74463332055353,12.11676407006689,60,485990.86629657535,400431.9966921126,0.0,57283.83409599311,62422.49038286801,0.0,213.30882507265318
650000,50000,0.85,[27.87875576],5.045045045045004,1.6007504000802149,60,551714.8187991622,325703.26472849195,0.0,7796.712732369463,8495.622378418306,0.0,180.18018018018012
600000,50000,0.85,[119.13135429],19.723865877712015,6.840318294296665,60,517976.337594484,363930.92106233904,0.0,32482.63676449031,35393.73475476234,0.0,197.23865877712032
650000,50000,0.85,[27.87875576],5.045045045045004,1.6007504000802149,60,551714.8187991622,325703.26472849195,0.0,7796.712732369463,8495.622378418306,0.0,180.18018018018012
610000,50000,0.85,[81.45333368],14.015151515151516,4.67691089268406,60,532056.2519815966,348004.6521540538,0.0,22329.35407900942,24330.615884949515,0.0,189.39393939393938
