power,energy,effi,storage,charge,discharge,fuel_cost,Gasuse,solar,wind,discharge,charge,Wind,Solar,chargeeffi,costfrac
0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500000,5000,0.6,[3734.35618346],355.09860149642805,100.0,100,37756.367531111595,1144428.17810457,0.0,453514.3302275412,701260.500796821,0.0,564.6384633950722,0.923076923076923,0.097
700000,5000,0.6,[3629.55973979],348.4162899583268,100.0,100,38226.155056562966,1143462.0863401836,0.0,452995.2996130679,700323.2686244441,0.0,565.4682092791005,0.923076923076923,0.097
900000,5000,0.6,[3621.54351666],341.6277131783021,100.0,100,38465.33931634856,1142995.5258307082,0.0,452713.4186852907,699853.1850760129,0.0,566.1893758696181,0.923076923076923,0.097
1100000,5000,0.6,[3582.9673088],339.2659509869154,100.0,100,38045.41826357576,1143575.1730730939,0.0,453010.7299916822,700275.0658415555,0.0,568.2612561279632,0.923076923076923,0.097
1300000,5000,0.6,[3890.67651687],320.9079917486774,100.0,100,42436.87222752405,1136753.0287392866,0.0,449216.8016223552,694529.2639284609,0.0,558.2334108072644,0.923076923076923,0.097
1500000,5000,0.6,[3897.22322739],317.2861128011685,100.0,100,42137.28210814443,1137162.6580056408,0.0,449403.3924576515,694803.0762197876,0.0,560.1155876525751,0.923076923076923,0.097
1700000,5000,0.6,[3905.96439317],314.4467957020959,100.0,100,41844.118207253814,1137575.1805212859,0.0,449595.48056979745,695090.5655061571,0.0,561.8026028467366,0.923076923076923,0.097
1900000,5000,0.6,[3908.31454051],313.60346331040176,100.0,100,41769.27550172128,1137675.6131223608,0.0,449639.26585351856,695154.6041331699,0.0,562.3240592481429,0.923076923076923,0.097
2100000,5000,0.6,[3854.50403698],311.42881262421173,100.0,100,41876.95182564068,1137373.77999965,0.0,449455.5294742423,694805.7796611075,0.0,563.6011131838517,0.923076923076923,0.097
2300000,5000,0.6,[3820.6572579],309.99217612388685,100.0,100,41937.77068563608,1137190.7589976566,0.0,449342.2776491382,694588.4375376286,0.0,564.4814665327777,0.923076923076923,0.097
2500000,5000,0.6,[3801.17765012],308.9465623143152,100.0,100,41755.28308474448,1137424.9418874,0.0,449450.88599532197,694736.4101238153,0.0,565.7263899997226,0.923076923076923,0.097
2700000,5000,0.6,[3781.14926846],308.1954926766076,100.0,100,41541.86786348207,1137716.205265782,0.0,449592.55693663104,694939.0431377493,0.0,566.9381842730661,0.923076923076923,0.097
2900000,5000,0.6,[3587.68602132],290.5481629232884,94.4649703460283,100,63596.692129218325,1101306.8859161234,0.0,428342.9466065919,662073.7150633233,0.0,553.5029653971708,0.923076923076923,0.097
3100000,5000,0.6,[2900.37203326],235.16920777252932,73.57790186902689,100,152791.13210017583,954858.2506676158,0.0,343312.8615973846,530734.3794140087,0.0,489.2981135365391,0.923076923076923,0.097
3300000,5000,0.6,[2002.38868334],166.8,49.47011063941781,100,267169.1161138537,768207.4386739784,0.0,236226.08388614625,365171.66646828776,0.0,400.0,0.923076923076923,0.097
