power,energy,effi,storage,charge,discharge,fuel_cost,Gasuse,solar,wind,discharge,charge,Wind,Solar
0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500000,5000,0.45,[1417.91676564],98.95561357702348,20.945125159768974,60,440600.1453682742,542055.700647698,0.0,86543.71886149088,384462.27981508226,0.0,261.0966057441253
700000,5000,0.45,[731.9342527],52.081611462466135,10.236247036527441,60,497477.31414319534,433545.44769097015,0.0,44652.523352928336,198351.3131023559,0.0,216.12428932191995
900000,5000,0.45,[295.4504913],20.643939393939377,3.981143094345043,60,536685.5932960975,361126.219736264,0.0,17700.012764508567,78627.540570062,0.0,189.39393939393938
1100000,5000,0.45,[0.],0.0,0.0,60,561835.9788359788,314164.0211640211,0.0,0.0,0.0,0.0,176.36684303350972
1000000,5000,0.45,[116.80362291],8.318264014466536,1.5478984456177807,60,552000.6862833113,332780.96062069933,0.0,7125.353499690521,31654.53112746514,0.0,180.83182640144665
950000,5000,0.45,[200.20714222],14.022140221402196,2.6998428542339554,60,544964.9643129881,345892.94555349764,0.0,12057.544912104157,53561.07873741657,0.0,184.50184501845018
910000,5000,0.45,[277.08927262],19.245283018867923,3.732248910586654,60,538180.1456568553,358252.5903818522,0.0,16581.175097861655,73656.75315813419,0.0,188.67924528301887
905000,5000,0.45,[285.12564177],19.848771266540638,3.8397997452093753,60,537503.1359212311,359532.22718470945,0.0,17070.02097857987,75828.75690044067,0.0,189.0359168241966
901000,5000,0.45,[295.4504913],20.643939393939377,3.981143094345043,60,536685.5932960975,361126.219736264,0.0,17700.012764508567,78627.540570062,0.0,189.39393939393938
902000,5000,0.45,[293.19245171],20.454545454545453,3.9493423531358274,60,536823.1325388475,360819.20027478883,0.0,17562.47352175848,78016.57955583188,0.0,189.39393939393938
903000,5000,0.45,[293.19245171],20.454545454545453,3.9493423531358274,60,536823.1325388475,360819.20027478883,0.0,17562.47352175848,78016.57955583188,0.0,189.39393939393938
904000,5000,0.45,[287.37941286],20.037807183364833,3.8715537298008087,60,537365.5022825713,359839.45874332887,0.0,17207.654617239754,76440.13998265869,0.0,189.0359168241966
500000,10000,0.45,[809.74036133],59.701500586421005,11.403849496404463,60,490057.67825252685,447652.3189326863,0.0,50073.485009117925,222446.3209187819,0.0,221.19321410861636
700000,10000,0.45,[385.42021924],29.15851272015655,5.428004312230202,60,526802.0756021672,379276.05209813314,0.0,24411.23163853737,108432.4559962635,0.0,195.69471624266146
900000,10000,0.45,[39.86633234],3.1952246517127203,0.528314382111951,60,558631.5111608754,320595.5209103388,0.0,2617.552158500445,11630.575767355273,0.0,177.3113825630803
800000,10000,0.45,[193.93342885],14.944649446494452,2.731230577702992,60,544579.1126840932,346752.6226193078,0.0,12443.396540999094,55271.8144983162,0.0,184.50184501845018
750000,10000,0.45,[282.49896313],21.550094517958414,3.9785291831913496,60,536633.8311493245,361469.4786930571,0.0,17939.325750486445,79683.83872708416,0.0,189.0359168241966
800000,10000,0.45,[193.93342885],14.944649446494452,2.731230577702992,60,544579.1126840932,346752.6226193078,0.0,12443.396540999094,55271.8144983162,0.0,184.50184501845018
760000,10000,0.45,[265.21848908],20.30075187969925,3.7351623774241207,60,538268.095368237,358516.65138205414,0.0,16869.12267687585,74930.25407696818,0.0,187.96992481203006
755000,10000,0.45,[273.20223389],20.90395480225989,3.8476001767500887,60,537589.032008398,359800.67417356954,0.0,17360.120533974954,77111.18154484233,0.0,188.32391713747646
751000,10000,0.45,[282.49896313],21.550094517958414,3.9785291831913496,60,536633.8311493245,361469.4786930571,0.0,17939.325750486438,79683.83872708416,0.0,189.0359168241966
752000,10000,0.45,[282.49896313],21.550094517958414,3.9785291831913523,60,536633.8311493245,361469.4786930571,0.0,17939.32575048645,79683.83872708419,0.0,189.0359168241966
