power,energy,effi,storage,charge,discharge,fuel_cost,Gasuse,solar,wind,discharge,charge,Wind,Solar
0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500000,5000,0.38,[2927.08330259],402.5489680672093,80.67520159155042,60,176805.87354209626,1216738.5499215529,0.0,314838.47066057165,815735.2362417364,0.0,558.3877422968991
700000,5000,0.38,[1333.73777039],192.30769230769232,34.71628060457425,60,375924.7421142935,723095.0473799491,0.0,135680.9435044356,351526.71833870467,0.0,334.4481605351171
900000,5000,0.38,[862.85053135],122.84946236559139,20.518525797744974,60,441154.402255479,572868.6550405925,0.0,83937.53322839201,217521.3787139742,0.0,268.81720430107526
1100000,5000,0.38,[607.39796085],87.70685579196217,14.045666035523382,60,475609.3929532061,497422.57760294876,0.0,59013.065675635604,152924.13550715454,0.0,236.4066193853428
1300000,5000,0.38,[457.41634287],65.94704370612959,9.920708818280117,60,497173.28275120514,451128.6413400307,0.0,43954.45126607022,113931.24785016004,0.0,218.6390562663104
1500000,5000,0.38,[364.33610041],49.173553719008254,7.1498634610274125,60,513152.39134186634,417139.0869980471,0.0,32976.12105482786,85522.24740684642,0.0,206.61157024793388
1700000,5000,0.38,[219.1131927],30.21032504780115,4.083021928979837,60,533722.9596172755,374780.12886939186,0.0,19727.709598785717,51186.18212374397,0.0,191.20458891013382
1900000,5000,0.38,[124.93853441],17.16142608438382,2.211803346668408,60,547137.4037178115,347301.4091524241,0.0,11185.958510580676,29032.275953199853,0.0,182.21061599437607
1800000,5000,0.38,[164.44341787],22.862453531598504,3.0172342108039483,60,541386.4694771132,359130.9531751246,0.0,14878.958032180557,38608.453070729855,0.0,185.87360594795538
1750000,5000,0.38,[191.74914543],26.603773584905667,3.56862137436126,60,537386.8905732319,367238.84271066275,0.0,17374.43018148518,45080.16019607214,0.0,188.67924528301887
1710000,5000,0.38,[213.83052742],29.58015267175574,3.9946739590490736,60,534311.8094906264,373528.6360824824,0.0,19325.976768915603,50143.093895183905,0.0,190.83969465648855
1720000,5000,0.38,[208.34231066],28.89733840304183,3.894849119756078,60,535165.4556529582,371883.4935387152,0.0,18845.951191148215,48897.002375165255,0.0,190.11406844106463
1730000,5000,0.38,[202.024746],28.03030303030303,3.76304601948576,60,536132.2806785039,369941.4229892401,0.0,18253.325382102208,47360.488468849275,0.0,189.39393939393938
1740000,5000,0.38,[196.26156173],27.2211720226843,3.6537293003515714,60,536810.7188025247,368454.2880557401,0.0,17762.43809728626,46086.89605644008,0.0,189.0359168241966
1750000,5000,0.38,[191.74914543],26.603773584905667,3.56862137436126,60,537386.8905732319,367238.84271066275,0.0,17374.43018148518,45080.16019607214,0.0,188.67924528301887
1745000,5000,0.38,[195.0102435],27.032136105860104,3.6303752597951524,60,536911.8768790283,368186.47693602444,0.0,17661.280020782597,45824.44115911871,0.0,189.0359168241966
1750000,5000,0.38,[191.74914543],26.603773584905667,3.56862137436126,60,537386.8905732319,367238.84271066275,0.0,17374.43018148518,45080.16019607214,0.0,188.67924528301887
1746000,5000,0.38,[195.0102435],27.032136105860104,3.6303752597951524,60,536911.8768790283,368186.47693602444,0.0,17661.280020782597,45824.44115911871,0.0,189.0359168241966
1747000,5000,0.38,[193.71849662],26.843100189035923,3.608007343084385,60,537011.4389971048,367922.71371597715,0.0,17561.717902706176,45565.95320347231,0.0,189.0359168241966
1748000,5000,0.38,[193.71849662],26.843100189035923,3.608007343084385,60,537011.4389971048,367922.71371597715,0.0,17561.717902706176,45565.95320347231,0.0,189.0359168241966
1749000,5000,0.38,[191.74914543],26.603773584905667,3.56862137436126,60,537386.8905732319,367238.84271066275,0.0,17374.43018148518,45080.16019607214,0.0,188.67924528301887
500000,10000,0.38,[1599.08667405],235.71428571428572,43.77698669710112,60,337175.411167215,816249.6973986557,0.0,168815.94221624368,437316.2297664722,0.0,375.9398496240601
700000,10000,0.38,[937.63570129],141.47727272727275,24.15748636204073,60,425209.82235075947,608859.4611922965,0.0,96170.57537651333,249155.06174117772,0.0,284.0909090909091
900000,10000,0.38,[652.99171584],99.01719901719906,15.951217023673966,60,465506.0950831274,519187.8369105251,0.0,66121.91474488244,171319.5298037642,0.0,245.70024570024572
1100000,10000,0.38,[464.04419292],73.11439777668284,11.20618098534484,60,490915.67772309517,464422.43892697745,0.0,48268.42447831374,125054.41030581869,0.0,223.66201263137316
1300000,10000,0.38,[342.03059213],54.28073517358651,8.138164681802815,60,508784.088733928,426460.2646707722,0.0,36043.179625249104,93381.78236935027,0.0,209.6205640945469
1500000,10000,0.38,[217.81053965],34.82490272373539,4.954829764878377,60,528946.3460777279,384592.9733430374,0.0,22829.140303595166,59161.09052987318,0.0,194.55252918287937
1700000,10000,0.38,[119.44122811],20.036764705882362,2.6430871706685717,60,544555.7655617412,352575.82836682635,0.0,12846.80796767062,33298.83385831335,0.0,183.8235294117647
1600000,10000,0.38,[161.80092222],26.553672316384194,3.676713107330015,60,537689.4314009977,366692.80741637497,0.0,17259.72114137521,44729.12075957293,0.0,188.32391713747646
1550000,10000,0.38,[187.30688979],30.21032504780115,4.256302666995198,60,533672.0313864746,374851.6596605709,0.0,19778.63782958651,51256.28229909938,0.0,191.20458891013382
1600000,10000,0.38,[161.80092222],26.553672316384194,3.676713107330015,60,537689.4314009977,366692.80741637497,0.0,17259.72114137521,44729.12075957293,0.0,188.32391713747646
