power,energy,effi,storage,charge,discharge,fuel_cost,Gasuse,solar,wind,discharge,charge,Wind,Solar
0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250000,30000,0.85,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
150000,30000,0.85,[62.66476463],3.590774738911258,4.330872741123131,60,175834.58880701681,0.0,701327.0129809312,5815.948931759714,6432.983906336095,152.33937461604597,0.0
100000,30000,0.85,[141.86182764],8.248965540978476,11.162079510703364,60,167966.9276665605,0.0,710625.1123289384,12976.956125488428,14353.905189286386,152.9051987767584,0.0
60000,30000,0.85,[207.71953231],12.624712884601635,17.632672666485366,60,162345.36626198332,0.0,717398.56565314,18710.592947974375,20702.049024271644,152.81507854084347,0.0
70000,30000,0.85,[189.57309173],11.203429551136168,15.833668018302149,60,163998.34139253455,0.0,715427.4974945935,17136.108797282053,18957.17908049491,152.7519636691431,0.0
65000,30000,0.85,[199.62540996],12.009358910764234,16.871635405926682,60,163041.38040381062,0.0,716563.0472421721,18021.524182869416,19938.142431737593,152.80949373910536,0.0
70000,30000,0.85,[189.57309173],11.203429551136168,15.833668018302149,60,163998.34139253455,0.0,715427.4974945935,17136.108797282053,18957.17908049491,152.7519636691431,0.0
66000,30000,0.85,[196.45449705],11.908396946564864,16.520906032288092,60,163474.50736978656,0.0,716077.3672680468,17759.691103495887,19648.292780670527,152.67175572519082,0.0
67000,30000,0.85,[191.65356415],11.450381679389295,16.030534351145036,60,163906.51759151276,0.0,715558.0757554814,17327.68088176968,19169.52966203137,152.67175572519082,0.0
250000,50000,0.85,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
150000,50000,0.85,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
100000,50000,0.85,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
60000,50000,0.85,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
55000,50000,0.85,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
51000,50000,0.85,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
250000,100000,0.85,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
150000,100000,0.85,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
100000,100000,0.85,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
60000,100000,0.85,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
55000,100000,0.85,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
51000,100000,0.85,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
250000,150000,0.85,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
150000,150000,0.85,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
100000,150000,0.85,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
60000,150000,0.85,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
55000,150000,0.85,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
51000,150000,0.85,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
250000,200000,0.85,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
150000,200000,0.85,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
100000,200000,0.85,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
60000,200000,0.85,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
55000,200000,0.85,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
51000,200000,0.85,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
250000,250000,0.85,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
150000,250000,0.85,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
100000,250000,0.85,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
60000,250000,0.85,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
55000,250000,0.85,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
51000,250000,0.85,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
250000,300000,0.85,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
