power,energy,effi,storage,charge,discharge,fuel_cost,Gasuse,solar,wind,discharge,charge,Wind,Solar,chargeeffi,costfrac
0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500000,5000,0.6,[3333.15794748],77.90282979568335,52.33872564790561,100,54667.25223245112,0.0,881802.563829731,83784.62623941436,133157.94673993514,198.3309139305277,0.0,0.923076923076923,0.097
700000,5000,0.6,[3078.05611776],69.43369418445113,43.58716864135211,100,63536.39329430287,0.0,868213.6918801512,77190.94135240896,122714.7937171044,195.20010850743216,0.0,0.923076923076923,0.097
900000,5000,0.6,[2823.64580857],63.14664770300134,38.05630512505564,100,71575.1444411975,0.0,856153.7469860482,71708.86753347606,113942.54673297395,191.77614512366677,0.0,0.923076923076923,0.097
1100000,5000,0.6,[2548.42112537],56.82299428607766,32.494658334889834,100,80905.25500966133,0.0,842162.7661735886,65290.67626234672,103715.72071901229,188.03716341256316,0.0,0.923076923076923,0.097
1300000,5000,0.6,[2253.21253998],49.0823675657337,27.513836321422716,100,88793.3180731649,0.0,829284.9127378433,58376.63153210933,92727.56523980084,186.8200094808693,0.0,0.923076923076923,0.097
1500000,5000,0.6,[1944.54948212],41.75185983746502,22.479451651386327,100,98391.51268233822,0.0,814108.5582609391,50618.54741519191,80417.18617704857,184.5727341633659,0.0,0.923076923076923,0.097
1700000,5000,0.6,[1600.94918232],33.99042597904972,17.94241498662334,100,106526.17758742093,0.0,799975.0635534355,42283.58486982518,67185.99324062916,184.81438066075822,0.0,0.923076923076923,0.097
1900000,5000,0.6,[1248.66885845],25.230202578268873,13.910186814047982,100,115576.95431678076,0.0,784734.8742492173,33774.426898688886,53618.081967403334,184.16206261510126,0.0,0.923076923076923,0.097
2100000,5000,0.6,[939.21406942],18.5963790871782,9.667243966308234,100,124241.67760092126,0.0,769581.2920696326,24638.38957597308,39195.100842947795,184.72956244108747,0.0,0.923076923076923,0.097
2300000,5000,0.6,[418.50270396],6.4099285078055175,3.554252076847634,100,136694.03411929705,0.0,746292.8336120913,9528.664095783526,15245.106302004837,188.00340725760694,0.0,0.923076923076923,0.097
2200000,5000,0.6,[766.02814958],12.282921941306029,6.555242703331662,100,129993.1067589581,0.0,758782.958867595,17422.65609080661,27875.74312371662,186.51648163007647,0.0,0.923076923076923,0.097
2150000,5000,0.6,[817.37693745],15.202071688407955,8.134682383520332,100,127535.75493649507,0.0,763642.707998586,20945.42178805456,33345.12435981761,185.21233390419286,0.0,0.923076923076923,0.097
2200000,5000,0.6,[766.02814958],12.282921941306029,6.555242703331662,100,129993.1067589581,0.0,758782.958867595,17422.65609080661,27875.74312371662,186.51648163007647,0.0,0.923076923076923,0.097
2160000,5000,0.6,[804.44645099],14.51016395266079,7.724819339118002,100,128350.29487466229,0.0,762228.2129006879,20065.710249339947,31979.278176636984,185.29152743148995,0.0,0.923076923076923,0.097
2170000,5000,0.6,[790.28680029],13.895267447853684,7.47170768510419,100,128565.3341920149,0.0,761571.4407261651,19433.28245745033,30987.745269812596,185.79978376485104,0.0,0.923076923076923,0.097
2180000,5000,0.6,[810.52499252],13.394506586841958,7.0872597917337705,100,128935.90358113911,0.0,760783.6150350483,18738.487426651023,29961.236347235495,186.1978761688702,0.0,0.923076923076923,0.097
