power,energy,effi,storage,charge,discharge,fuel_cost,Gasuse,solar,wind,discharge,charge,Wind,Solar
0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400000,5000,0.3,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
300000,5000,0.3,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
250000,5000,0.3,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
210000,5000,0.3,[13.91169449],0.4230270380375056,0.18467660515788611,60,181783.46369039532,0.0,695140.9831709152,387.5888912628177,843.9899858935847,151.92591079884645,0.0
205000,5000,0.3,[24.3004188],0.7410448716366645,0.3225860696928428,60,181467.59141679847,0.0,696145.9679362271,676.4827535148476,1473.1097086370723,151.9472773327853,0.0
201000,5000,0.3,[41.59253706],1.269808048474679,0.5521375236118189,60,181139.61053386767,0.0,697613.2208704427,1154.061740809292,2513.177467892835,151.82879767387507,0.0
400000,10000,0.3,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
300000,10000,0.3,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
250000,10000,0.3,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
210000,10000,0.3,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
205000,10000,0.3,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
201000,10000,0.3,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
400000,20000,0.3,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
300000,20000,0.3,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
250000,20000,0.3,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
210000,20000,0.3,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
205000,20000,0.3,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
201000,20000,0.3,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
400000,30000,0.3,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
300000,30000,0.3,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
250000,30000,0.3,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
210000,30000,0.3,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
205000,30000,0.3,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
201000,30000,0.3,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
400000,40000,0.3,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
300000,40000,0.3,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
250000,40000,0.3,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
210000,40000,0.3,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
205000,40000,0.3,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
201000,40000,0.3,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
400000,50000,0.3,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
300000,50000,0.3,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
250000,50000,0.3,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
210000,50000,0.3,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
205000,50000,0.3,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
201000,50000,0.3,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
400000,5000,0.4,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
300000,5000,0.4,[260.39164407],6.184364271852777,3.5917179631520217,60,173627.5998853536,0.0,713898.3678499225,7467.9320856883605,14108.314602220105,152.78325794511193,0.0
250000,5000,0.4,[436.38877526],10.854313597700902,6.365773951456508,60,167275.35940543163,0.0,728208.7240338332,12626.58150441303,23851.20314322513,153.75078168890553,0.0
210000,5000,0.4,[585.63642321],15.254237288135599,8.96011120029402,60,162404.62043560357,0.0,739961.1996535967,17091.06523465839,32278.96406534119,154.08320493066256,0.0
205000,5000,0.4,[593.06218481],15.526921325821945,9.11882189035341,60,162213.1054248832,0.0,740535.5553645858,17340.335943384227,32748.484632776406,154.03589510109592,0.0
210000,5000,0.4,[585.63642321],15.254237288135599,8.96011120029402,60,162404.62043560357,0.0,739961.1996535967,17091.06523465839,32278.96406534119,154.08320493066256,0.0
215000,5000,0.4,[576.51602587],14.95031320856505,8.779376113310317,60,162687.7936412867,0.0,739231.7402006675,16800.975472426315,31731.997696919105,154.08889170048934,0.0
220000,5000,0.4,[567.33068486],14.661860336276376,8.60956561907004,60,162935.62729843153,0.0,738552.6854761373,16520.89651684068,31203.657303675354,154.11540367779082,0.0
225000,5000,0.4,[549.90709941],14.133841878937938,8.295554449934835,60,163448.24090975992,0.0,737232.2350652255,15996.467127132615,30214.074821425966,154.12511857153808,0.0
230000,5000,0.4,[520.5199999],13.304267827155101,7.786336374366973,60,164529.83965383135,0.0,734819.6875443481,15133.325766566066,28584.345581224792,153.94601606950422,0.0
235000,5000,0.4,[497.04010527],12.622008726844125,7.3791676863932105,60,165340.20987149834,0.0,732930.9101123204,14433.819653494644,27263.744714876833,153.8552031787488,0.0
240000,5000,0.4,[481.30676715],12.153846153846132,7.111742860319345,60,165822.50249093032,0.0,731722.0623459233,13962.574432146599,26374.040937026588,153.84615384615384,0.0
245000,5000,0.4,[463.2822611],11.638574109387509,6.814082768197207,60,166445.0180824119,0.0,730279.0620070501,13430.750692773148,25369.571409948636,153.77214064653927,0.0
250000,5000,0.4,[436.38877526],10.854313597700902,6.365773951456508,60,167275.35940543163,0.0,728208.7240338332,12626.58150441303,23851.20314322513,153.75078168890553,0.0
255000,5000,0.4,[417.31349211],10.355389743016016,6.067456852954364,60,168149.55624268568,0.0,726488.90921078,12079.103134544277,22816.437147709148,153.48454762589154,0.0
260000,5000,0.4,[393.0184312],9.673322920835787,5.665603361798603,60,168991.6723633882,0.0,724528.8705288776,11354.116139540256,21447.55829463318,153.38926282634375,0.0
265000,5000,0.4,[385.73610591],9.477913874991572,5.548466460791584,60,169278.0383557273,0.0,723912.629931732,11140.293207997507,21043.709903119634,153.33041158962405,0.0
270000,5000,0.4,[363.3468383],8.882082695252677,5.190840544650805,60,170171.06655181025,0.0,722005.5178503271,10482.991641145341,19802.235956056847,153.1393568147014,0.0
275000,5000,0.4,[334.54019471],8.130603491468667,4.740061162079514,60,171298.40062536683,0.0,719585.8074834516,9645.483166682101,18220.19726713091,152.9051987767584,0.0
280000,5000,0.4,[322.27020509],7.79816513761466,4.544733918685516,60,171662.06354016057,0.0,718661.4565894785,9281.82025188837,17533.606659728644,152.9051987767584,0.0
285000,5000,0.4,[304.99984881],7.339449541284381,4.275211308269829,60,172169.67241952702,0.0,717371.0740131938,8774.2113725219,16575.13454420477,152.9051987767584,0.0
290000,5000,0.4,[286.7531896],6.861184746831963,3.9930986823884536,60,172739.9331366973,0.0,715974.9767555764,8238.73147554885,15563.974079353975,152.87723139747064,0.0
286000,5000,0.4,[299.24306338],7.186544342507631,4.185370438131274,60,172339.53233045258,0.0,716939.2994726048,8604.351461596341,16254.420466881085,152.9051987767584,0.0
400000,10000,0.4,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
300000,10000,0.4,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
250000,10000,0.4,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
210000,10000,0.4,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
205000,10000,0.4,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
201000,10000,0.4,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
400000,20000,0.4,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
300000,20000,0.4,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
250000,20000,0.4,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
210000,20000,0.4,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
205000,20000,0.4,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
201000,20000,0.4,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
400000,30000,0.4,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
300000,30000,0.4,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
250000,30000,0.4,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
210000,30000,0.4,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
205000,30000,0.4,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
201000,30000,0.4,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
400000,40000,0.4,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
300000,40000,0.4,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
250000,40000,0.4,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
210000,40000,0.4,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
205000,40000,0.4,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
201000,40000,0.4,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
400000,50000,0.4,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
300000,50000,0.4,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
250000,50000,0.4,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
210000,50000,0.4,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
205000,50000,0.4,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
201000,50000,0.4,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
