power,energy,effi,storage,charge,discharge,fuel_cost,Gasuse,solar,wind,discharge,charge,Wind,Solar
0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500000,5000,0.45,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
400000,5000,0.45,[217.54419779],3.859155808252016,1.7595475818882647,60,178253.47524842416,0.0,702538.8950033695,3729.6521875381277,16958.61053175187,152.07500374320702,0.0
350000,5000,0.45,[417.94757501],7.49851106894954,3.4800602742623283,60,174394.48657351066,0.0,710703.5154016104,7079.367885595885,32192.559553681367,152.48015754460928,0.0
310000,5000,0.45,[621.67054474],11.450381679389295,5.335247010693056,60,170773.41469610683,0.0,718669.4869185865,10460.783777175639,47567.733330917494,152.67175572519082,0.0
305000,5000,0.45,[643.07423724],11.908396946564864,5.516125453788695,60,170427.25900670126,0.0,719461.7945559341,10806.939466581169,49144.405621886195,152.67175572519082,0.0
301000,5000,0.45,[659.51673426],12.270497813457387,5.648854961832058,60,170164.6589863105,0.0,720063.3922628129,11069.539486971938,50341.56994295953,152.67175572519082,0.0
500000,10000,0.45,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
400000,10000,0.45,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
350000,10000,0.45,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
310000,10000,0.45,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
305000,10000,0.45,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
301000,10000,0.45,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
500000,20000,0.45,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
400000,20000,0.45,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
350000,20000,0.45,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
310000,20000,0.45,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
305000,20000,0.45,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
301000,20000,0.45,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
500000,30000,0.45,[0.],0.0,0.0,60,182399.39301972688,0.0,693600.6069802732,0.0,0.0,151.74506828528072,0.0
